method,scenario,seeds,runtime_p99_seconds_mean,runtime_p99_seconds_std,T_policy_p99_seconds_mean,T_policy_p99_seconds_std,T_certificate_p99_seconds_mean,T_certificate_p99_seconds_std,T_watchdog_p99_seconds_mean,T_watchdog_p99_seconds_std,T_plant_p99_seconds_mean,T_plant_p99_seconds_std,T_total_p99_seconds_mean,T_total_p99_seconds_std,wall_time_seconds_mean,wall_time_seconds_std
generator_sac,mission_energy_tight,5,0.014473627601168128,0.0004077549058887951,0.000522757868980989,9.861047122070744e-06,0.003901686665718448,0.0002554562757995715,0.0015935049047693614,2.4677350508795024e-05,0.0013708792647812518,9.711266651782925e-06,0.014808618722250696,0.0003849690912327049,176.77365476059495,1.0012047487350524
generator_sac,mission_narrow,5,0.022804973102174702,0.0018496771821370184,0.0005175517887109892,3.2792395896409575e-05,0.008236415852792563,0.0009583762414451853,0.001854080784483813,8.040530434732927e-05,0.0016796708828769624,3.2995891473551105e-05,0.023130943639669575,0.0018359770524068834,226.05702447779476,8.886687071742054
generator_sac,mission_obstacle,5,0.022874616941669958,0.002831746800406237,0.0005037289641331883,2.6796848565739304e-05,0.008229398797382602,0.0012946782996990452,0.0018811463576275862,0.00010330034084532445,0.001635182249709033,9.895259528435474e-05,0.023224302702234127,0.002861763038865023,285.0369606574066,14.148557486586098
generator_sac,mission_open,5,0.015469091368257077,0.00033611259775137824,0.000517267983988859,1.2752980517587602e-05,0.004573643929557876,5.7368410674060666e-05,0.0016597701605642217,1.1175769255264911e-05,0.0013779900152003394,8.912893673401134e-06,0.015853469082387175,0.00030868900169407827,181.70868697840487,1.1666419077598071
penalty_sac,mission_energy_tight,5,0.0020489023892441764,1.744080609383445e-05,0.0006725418922724205,1.242571064650492e-05,,,,,0.0020489023892441764,1.744080609383445e-05,0.0020489023892441764,1.744080609383445e-05,87.1017906698049,0.8419129344840551
penalty_sac,mission_narrow,5,0.002380402570939623,2.8800077939747916e-05,0.0006867900193901733,1.732395972322013e-05,,,,,0.002380402570939623,2.8800077939747916e-05,0.002380402570939623,2.8800077939747916e-05,89.9948326378013,0.6985744065361197
penalty_sac,mission_obstacle,5,0.0023814534314442427,1.4959604426959685e-05,0.0006780732299666855,4.823070530549583e-06,,,,,0.0023814534314442427,1.4959604426959685e-05,0.0023814534314442427,1.4959604426959685e-05,89.8139933448052,0.6449018247038054
penalty_sac,mission_open,5,0.00204175912484061,9.864148678322562e-06,0.0006703940483275804,8.947134112861498e-06,,,,,0.00204175912484061,9.864148678322562e-06,0.00204175912484061,9.864148678322562e-06,86.98788219436537,0.87520957475819
sac,mission_energy_tight,5,0.002156219657277689,0.0001491674142336196,0.0007262409307295457,7.045788627332099e-05,,,,,0.002156219657277689,0.0001491674142336196,0.002156219657277689,0.0001491674142336196,89.50910320259864,2.0430651955602284
sac,mission_narrow,5,0.002484554443508387,0.00014375413010570847,0.0007346338909119368,7.161471636807256e-05,,,,,0.002484554443508387,0.00014375413010570847,0.002484554443508387,0.00014375413010570847,92.02028296560748,1.9910003603730548
sac,mission_obstacle,5,0.0024820068960543723,0.00013974773174321877,0.0007317019471665845,6.377073508631804e-05,,,,,0.0024820068960543723,0.00013974773174321877,0.0024820068960543723,0.00013974773174321877,91.85519805918447,1.972686500842572
sac,mission_open,5,0.002154396189143882,0.00014763631801069957,0.0007160071196267385,5.9352904355295406e-05,,,,,0.002154396189143882,0.00014763631801069957,0.002154396189143882,0.00014763631801069957,89.25276900097961,2.0820727685383713
shield_sac,mission_energy_tight,5,0.008988539625890555,0.00011948304555952406,0.0007020156322978438,1.0597205184100518e-05,0.00279342310433276,2.3488680148700682e-05,2.37297273706645e-05,6.234815226749594e-07,0.001335231728618965,2.181769907778104e-05,0.010716470675775785,0.00014813970163620415,145.704113708192,0.678043306437036
shield_sac,mission_narrow,5,0.014685343014192779,6.820959497624714e-05,0.0007254188492661344,7.931940501622551e-06,0.004527588822995315,4.908338777464915e-05,3.153288864996287e-05,1.2171468261108912e-06,0.0017266721863998101,1.7506796237429067e-05,0.016683918157243183,7.622619954546496e-05,175.21226106500254,0.6478921536164621
shield_sac,mission_obstacle,5,0.013291657517198477,6.916962151169138e-05,0.0007033239043084907,8.033477946433511e-06,0.004116226445534266,1.765929816208628e-05,3.055522788781674e-05,5.833348538387639e-07,0.0017215762212872507,1.1839779810686996e-05,0.01515041182551068,0.00013332916226442193,178.50935176521307,1.4088350114688757
shield_sac,mission_open,5,0.009008470588247292,8.476060089483395e-05,0.0006803991860942919,2.5015374799366086e-06,0.0028090263176709417,1.776587210103446e-05,2.2730132681317638e-05,6.538014105239943e-07,0.0013326530226040634,7.011128527426488e-06,0.010774169334326872,9.883143906528056e-05,146.25098345139995,0.9703584245417884
