method,scenario,task_success,episode_return,collision_rate,return_failure_rate,fallback_rate
generator_sac,mission_energy_tight,0.0,28.521473623600155,0.0,0.0,0.9342
generator_sac,mission_narrow,0.0,34.166009741281314,0.0,0.0,0.76
generator_sac,mission_obstacle,1.0,109.56479757435613,0.0,0.0,0.671
generator_sac,mission_open,1.0,81.96286847306378,0.0,0.0,0.9055
penalty_sac,mission_energy_tight,0.08911295927244621,-20.694662999117817,0.22862222277900943,1.0,0.0
penalty_sac,mission_narrow,0.0,-18.0330077816341,0.29775653513128636,1.0,0.0
penalty_sac,mission_obstacle,0.0,-17.699973746830487,0.23491217834176661,1.0,0.0
penalty_sac,mission_open,0.06318089199591388,-23.113457422297394,0.32579429070957594,1.0,0.0
sac,mission_energy_tight,0.03315231996015489,-1.79375337299943,0.22396932947868103,1.0,0.0
sac,mission_narrow,0.0,0.7181519935537469,0.24620890537199897,1.0,0.0
sac,mission_obstacle,0.0,1.7845748231232375,0.18739369015258894,1.0,0.0
sac,mission_open,0.027814333976502136,-2.1665651447794563,0.2424460901716859,1.0,0.0
shield_sac,mission_energy_tight,0.0,25.89334996355966,0.0,0.0,0.99092
shield_sac,mission_narrow,0.0,26.022169955962102,0.0,0.0,0.9800000000000001
shield_sac,mission_obstacle,0.0,25.960744124419033,0.0,0.0,0.98246
shield_sac,mission_open,0.0,25.89314148923243,0.0,0.0,0.9900400000000001
