method,scenario,seeds,task_success_rate_mean,task_success_rate_std,return_success_rate_mean,return_success_rate_std,collision_episode_rate_mean,collision_episode_rate_std,energy_depletion_rate_mean,energy_depletion_rate_std,evaluation_task_success_rate_mean,evaluation_task_success_rate_std,evaluation_return_success_rate_mean,evaluation_return_success_rate_std,fallback_rate_mean,fallback_rate_std,outbound_fallback_rate_mean,outbound_fallback_rate_std,mean_zonotope_volume_mean,mean_zonotope_volume_std,min_zonotope_volume_mean,min_zonotope_volume_std,fallback_with_invalid_kappa_mean,fallback_with_invalid_kappa_std
generator_sac,mission_energy_tight,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9342,0.0,0.0,0.0,1.987213872430752e-06,0.0,1.2423394082361483e-06,0.0,0.0,0.0
generator_sac,mission_narrow,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.76,0.0,0.019607843137254943,0.0,1.273365404702009e-06,0.0,8.413751970692829e-07,0.0,0.0,0.0
generator_sac,mission_obstacle,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.671,0.0,0.0,0.0,1.2241480395070735e-06,4.62051410781566e-10,6.193000103849045e-07,0.0,0.0,0.0
generator_sac,mission_open,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9055,0.0,0.0,0.0,1.6163135882152347e-06,0.0,7.906571681814967e-07,0.0,0.0,0.0
penalty_sac,mission_energy_tight,5,0.08911295927244621,0.01513897584073449,0.0,0.0,0.22862222277900943,0.11536781710973737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penalty_sac,mission_narrow,5,0.0,0.0,0.0,0.0,0.29775653513128636,0.08018433925433334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penalty_sac,mission_obstacle,5,0.0,0.0,0.0,0.0,0.23491217834176661,0.059480892787228776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penalty_sac,mission_open,5,0.06318089199591388,0.03065345099865853,0.0,0.0,0.32579429070957594,0.19304034470929488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_energy_tight,5,0.03315231996015489,0.020569397157076848,0.0,0.0,0.22396932947868103,0.21783670323000498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_narrow,5,0.0,0.0,0.0,0.0,0.24620890537199897,0.12955027443703293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_obstacle,5,0.0,0.0,0.0,0.0,0.18739369015258894,0.07084558961929975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_open,5,0.027814333976502136,0.016017786540149268,0.0,0.0,0.2424460901716859,0.26650736543603454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shield_sac,mission_energy_tight,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.99092,0.00064000000000001,0.5202767787767788,0.020237436725349365,0.0,0.0,0.0,0.0,0.0,0.0
shield_sac,mission_narrow,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9800000000000001,0.0009838699100999074,0.40032564228440515,0.016335973822208253,0.0,0.0,0.0,0.0,0.0,0.0
shield_sac,mission_obstacle,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.98246,0.0006800000000000055,0.32998046398046393,0.010957045762631398,0.0,0.0,0.0,0.0,0.0,0.0
shield_sac,mission_open,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9900400000000001,0.0013734627770711468,0.4934011544011545,0.037520373054178394,0.0,0.0,0.0,0.0,0.0,0.0
