scenario,seed,unique_c,unique_G,unique_zonotope_volume,state_dependent
mission_narrow,1,2353,50,50,1
mission_narrow,3,2353,50,50,1
mission_narrow,0,2353,50,50,1
mission_narrow,2,2353,50,50,1
mission_narrow,4,2353,50,50,1
mission_energy_tight,1,612,14,14,1
mission_energy_tight,3,612,14,14,1
mission_energy_tight,0,612,14,14,1
mission_energy_tight,2,612,14,14,1
mission_energy_tight,4,612,14,14,1
mission_open,1,901,21,21,1
mission_open,3,901,21,21,1
mission_open,0,901,21,21,1
mission_open,2,901,21,21,1
mission_open,4,901,21,21,1
mission_obstacle,1,3268,79,79,1
mission_obstacle,3,3268,79,79,1
mission_obstacle,0,3268,79,79,1
mission_obstacle,2,3268,79,79,1
mission_obstacle,4,3268,79,79,1
