method,scenario,seeds,task_success_rate_mean,task_success_rate_std,return_success_rate_mean,return_success_rate_std,collision_episode_rate_mean,collision_episode_rate_std,energy_depletion_rate_mean,energy_depletion_rate_std,evaluation_task_success_rate_mean,evaluation_task_success_rate_std,evaluation_return_success_rate_mean,evaluation_return_success_rate_std,mean_episode_return_mean,mean_episode_return_std,fallback_rate_mean,fallback_rate_std,outbound_fallback_rate_mean,outbound_fallback_rate_std,no_generator_set_rate_mean,no_generator_set_rate_std,mean_zonotope_volume_mean,mean_zonotope_volume_std,min_zonotope_volume_mean,min_zonotope_volume_std,mean_sigma_min_mean,mean_sigma_min_std,mean_condition_number_mean,mean_condition_number_std,terminal_energy_mean_mean,terminal_energy_mean_std,minimum_energy_margin_mean,minimum_energy_margin_std,minimum_distance_to_task_mean,minimum_distance_to_task_std,uncertified_task_publication_count_mean,uncertified_task_publication_count_std,fallback_with_invalid_kappa_mean,fallback_with_invalid_kappa_std,premature_terminal_rate_mean,premature_terminal_rate_std,corridor_exit_rate_mean,corridor_exit_rate_std,certificate_failure_rate_mean,certificate_failure_rate_std,velocity_failure_rate_mean,velocity_failure_rate_std,other_failure_rate_mean,other_failure_rate_std,runtime_p99_seconds_mean,runtime_p99_seconds_std,T_policy_p99_seconds_mean,T_policy_p99_seconds_std,T_certificate_p99_seconds_mean,T_certificate_p99_seconds_std,T_watchdog_p99_seconds_mean,T_watchdog_p99_seconds_std,T_plant_p99_seconds_mean,T_plant_p99_seconds_std,T_total_p99_seconds_mean,T_total_p99_seconds_std,wall_time_seconds_mean,wall_time_seconds_std
generator_sac,mission_energy_tight,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.521473623600155,0.0022603338573743913,0.9342,0.0,0.0,0.0,0.0,0.0,1.987213872430752e-06,0.0,1.2423394082361483e-06,0.0,0.004000000189989805,0.0,1.957155860387362,0.0,2.89712235287882,1.217581095527568e-06,1.2831029389271555,3.586834247200592e-06,0.1841364300397009,5.192441663491817e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014473627601168128,0.0004077549058887951,0.000522757868980989,9.861047122070744e-06,0.003901686665718448,0.0002554562757995715,0.0015935049047693614,2.4677350508795024e-05,0.0013708792647812518,9.711266651782925e-06,0.014808618722250696,0.0003849690912327049,176.77365476059495,1.0012047487350524
generator_sac,mission_narrow,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.166009741281314,0.0019540713232109124,0.76,0.0,0.019607843137254943,0.0,0.0048,0.0,1.273365404702009e-06,0.0,8.413751970692829e-07,0.0,0.004000000189989805,0.0,1.5701870699318088,0.0,27.46300243932864,1.5035167182831961e-06,25.903006763892233,8.936226028435101e-06,1.4948486619647778,3.303251579694897e-05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022804973102174702,0.0018496771821370184,0.0005175517887109892,3.2792395896409575e-05,0.008236415852792563,0.0009583762414451853,0.001854080784483813,8.040530434732927e-05,0.0016796708828769624,3.2995891473551105e-05,0.023130943639669575,0.0018359770524068834,226.05702447779476,8.886687071742054
generator_sac,mission_obstacle,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,109.56479757435613,0.0007870156958457404,0.671,0.0,0.0,0.0,0.0,0.0,1.2241480395070735e-06,4.62051410781566e-10,6.193000103849045e-07,0.0,0.004000000189989805,0.0,1.5157952939501007,0.0003167066920834708,24.534109677325475,0.000872273892478234,22.689134369402552,0.004790789883619324,0.0003557694838076687,5.175514485297502e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022874616941669958,0.002831746800406237,0.0005037289641331883,2.6796848565739304e-05,0.008229398797382602,0.0012946782996990452,0.0018811463576275862,0.00010330034084532445,0.001635182249709033,9.895259528435474e-05,0.023224302702234127,0.002861763038865023,285.0369606574066,14.148557486586098
generator_sac,mission_open,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,81.96286847306378,0.0009072492498572032,0.9055,0.0,0.0,0.0,0.0,0.0,1.6163135882152347e-06,0.0,7.906571681814967e-07,0.0,0.004000000189989805,0.0,1.7422973036766052,0.0,27.262661499142347,2.6285998023365317e-06,25.640712802750794,8.914198449089521e-06,0.0028394996240408755,0.000173898254911305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015469091368257077,0.00033611259775137824,0.000517267983988859,1.2752980517587602e-05,0.004573643929557876,5.7368410674060666e-05,0.0016597701605642217,1.1175769255264911e-05,0.0013779900152003394,8.912893673401134e-06,0.015853469082387175,0.00030868900169407827,181.70868697840487,1.1666419077598071
penalty_sac,mission_energy_tight,5,0.08911295927244621,0.01513897584073449,0.0,0.0,0.22862222277900943,0.11536781710973737,0.0,0.0,0.0,0.0,0.0,0.0,-20.694662999117817,2.9654644964381416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.040349220170653,0.10842971935390966,,,0.047599320272860755,0.021407863787426207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7713777772209907,0.11536781710973738,0.0,0.0,0.0020489023892441764,1.744080609383445e-05,0.0006725418922724205,1.242571064650492e-05,,,,,0.0020489023892441764,1.744080609383445e-05,0.0020489023892441764,1.744080609383445e-05,87.1017906698049,0.8419129344840551
penalty_sac,mission_narrow,5,0.0,0.0,0.0,0.0,0.29775653513128636,0.08018433925433334,0.0,0.0,0.0,0.0,0.0,0.0,-18.0330077816341,0.6676868752157574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.626520226731305,0.04833621069139268,,,0.853035185241476,0.23954744595941488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7022434648687137,0.08018433925433333,0.0,0.0,0.002380402570939623,2.8800077939747916e-05,0.0006867900193901733,1.732395972322013e-05,,,,,0.002380402570939623,2.8800077939747916e-05,0.002380402570939623,2.8800077939747916e-05,89.9948326378013,0.6985744065361197
penalty_sac,mission_obstacle,5,0.0,0.0,0.0,0.0,0.23491217834176661,0.059480892787228776,0.0,0.0,0.0,0.0,0.0,0.0,-17.699973746830487,0.8796857775900507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.61297688629623,0.038378827810175424,,,0.665273483422465,0.060001066005481295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7650878216582334,0.05948089278722879,0.0,0.0,0.0023814534314442427,1.4959604426959685e-05,0.0006780732299666855,4.823070530549583e-06,,,,,0.0023814534314442427,1.4959604426959685e-05,0.0023814534314442427,1.4959604426959685e-05,89.8139933448052,0.6449018247038054
penalty_sac,mission_open,5,0.06318089199591388,0.03065345099865853,0.0,0.0,0.32579429070957594,0.19304034470929488,0.0,0.0,0.0,0.0,0.0,0.0,-23.113457422297394,4.602866841399723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.506296625228266,0.10856188306297,,,0.06064626063614028,0.032998456947991174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742057092904241,0.1930403447092949,0.0,0.0,0.00204175912484061,9.864148678322562e-06,0.0006703940483275804,8.947134112861498e-06,,,,,0.00204175912484061,9.864148678322562e-06,0.00204175912484061,9.864148678322562e-06,86.98788219436537,0.87520957475819
sac,mission_energy_tight,5,0.03315231996015489,0.020569397157076848,0.0,0.0,0.22396932947868103,0.21783670323000498,0.0,0.0,0.0,0.0,0.0,0.0,-1.79375337299943,5.234288796447217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.157081113554358,0.0650556919836512,,,0.06481538400132028,0.03343136629357591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7760306705213189,0.21783670323000498,0.0,0.0,0.002156219657277689,0.0001491674142336196,0.0007262409307295457,7.045788627332099e-05,,,,,0.002156219657277689,0.0001491674142336196,0.002156219657277689,0.0001491674142336196,89.50910320259864,2.0430651955602284
sac,mission_narrow,5,0.0,0.0,0.0,0.0,0.24620890537199897,0.12955027443703293,0.0,0.0,0.0,0.0,0.0,0.0,0.7181519935537469,2.4797388055007272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.646831101549946,0.08272600240902932,,,1.003655314398659,0.11932406940059319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7537910946280011,0.12955027443703293,0.0,0.0,0.002484554443508387,0.00014375413010570847,0.0007346338909119368,7.161471636807256e-05,,,,,0.002484554443508387,0.00014375413010570847,0.002484554443508387,0.00014375413010570847,92.02028296560748,1.9910003603730548
