collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
1,0,0,145,-56.82575202318594,0.22758620689655173,0.0,-0.031043604357403505,0.6736723398275356,1.0,0.0,4.201475867227147,0.0,1.0,0.0,0,0,3.72787797057055,COLLISION,0,4.201475867227147
1,0,1,35,-37.26087656424653,0.08571428571428572,0.0,-0.12587378824836973,0.7930359681764155,1.0,0.0,0.9734175988453081,0.0,1.0,0.0,0,0,5.072290926656515,COLLISION,0,0.9734175988453081
1,0,2,22,-35.27653767537633,0.0,0.0,-0.264385688492423,0.8001043440304266,1.0,0.0,0.5727983129236173,0.0,1.0,0.0,0,0,5.231158172434613,COLLISION,0,0.5727983129236173
1,0,3,99,-33.27465132590032,0.42424242424242425,0.0,0.0715127885115008,0.6108607236754597,1.0,0.0,1.6535827450399925,0.0,1.0,0.0,0,0,4.297093917013775,COLLISION,0,1.6535827450399925
1,0,4,54,-34.80856805641976,0.2777777777777778,0.0,0.010347175225094395,0.7102803209432053,1.0,0.0,1.247690837049503,0.0,1.0,0.0,0,0,4.842177144918625,COLLISION,0,1.247690837049503
1,0,5,47,-32.75278774930244,0.2765957446808511,0.0,0.006248888161149336,0.7967846392898548,1.0,0.0,1.0970907516184298,0.0,1.0,0.0,0,0,4.926636547190051,COLLISION,0,1.0970907516184298
1,0,6,33,-35.48391766129983,0.0,0.0,-0.0016316934428604365,0.8014359667254833,1.0,0.0,0.6286634300018591,0.0,1.0,0.0,0,0,5.098477883548567,COLLISION,0,0.6286634300018591
1,0,7,44,-35.22323164528092,0.0,0.0,0.01950085737203999,0.8014281456666501,1.0,0.0,1.0198849125091516,0.0,1.0,0.0,0,0,4.9637289230135995,COLLISION,0,1.0198849125091516
0,0,8,44,-24.642787307113956,0.38636363636363635,0.0,-0.07297432337441694,0.7696057514525514,1.0,0.0,0.8347655383296733,0.0,1.0,0.0,0,0,4.964436496202055,VELOCITY_LIMIT,0,0.8347655383296733
1,0,9,53,-40.04560805578575,0.07547169811320754,0.0,0.016230740249393964,0.7853750681155067,1.0,0.0,1.4238562633445486,0.0,1.0,0.0,0,0,4.8526655230415425,COLLISION,0,1.4238562633445486
1,0,10,39,-35.5535185521062,0.0,0.0,-0.060485760854722986,0.8035742493970408,1.0,0.0,0.6434438945601832,0.0,1.0,0.0,0,0,5.026273018842458,COLLISION,0,0.6434438945601832
1,0,11,22,-35.164060969091,0.0,0.0,-0.1990853892345459,0.8034580273805118,1.0,0.0,0.5238545094423964,0.0,1.0,0.0,0,0,5.232000150582708,COLLISION,0,0.5238545094423964
0,0,12,91,-31.889297628283337,0.32967032967032966,0.0,0.06453450246928939,0.8020995465010083,1.0,0.0,3.3417985808681965,0.0,1.0,0.0,0,0,4.38227970870343,VELOCITY_LIMIT,0,3.3417985808681965
1,0,13,49,-35.57694722439954,0.10204081632653061,0.0,-0.06615459777456328,0.786441602318908,1.0,0.0,0.9035167782143592,0.0,1.0,0.0,0,0,4.904064074410141,COLLISION,0,0.9035167782143592
1,0,14,60,-35.364647578016644,0.13333333333333333,0.0,0.04001631514440318,0.8009511934647767,1.0,0.0,1.3432020409648349,0.0,1.0,0.0,0,0,4.76757760740945,COLLISION,0,1.3432020409648349
0,0,15,75,-22.111709887165173,0.29333333333333333,0.0,0.02630018624232529,0.8013642831721879,1.0,0.0,1.24812837869452,0.0,1.0,0.0,0,0,4.588595556008074,VELOCITY_LIMIT,0,1.24812837869452
0,0,16,36,5.389202226208404,0.9166666666666666,0.0,0.2093793823644363,0.07334618201569361,1.0,0.0,0.7131885664036977,1.0,0.0,0.33526832789962907,0,1,5.060444604172698,VELOCITY_LIMIT,0,1.0484568943033268
0,0,17,99,-25.457698348369224,0.5050505050505051,0.0,0.08403640691237153,0.47200371989807,1.0,0.0,2.941503962314732,0.0,1.0,0.0,0,0,4.287738853252539,VELOCITY_LIMIT,0,2.941503962314732
1,0,18,31,-33.303347854760574,0.22580645161290322,0.0,-0.07708705384536506,0.7382745603419131,1.0,0.0,0.8657639569213709,0.0,1.0,0.0,0,0,5.122082306060393,COLLISION,0,0.8657639569213709
1,0,19,25,-35.381780244623684,0.12,0.0,-0.13847323401191608,0.7931441031510947,1.0,0.0,0.6555920784705637,0.0,1.0,0.0,0,0,5.194330823491554,COLLISION,0,0.6555920784705637
1,0,20,48,-40.52252926446134,0.20833333333333334,0.0,-0.14334697533324045,0.7944244775750345,1.0,0.0,1.5222116871151603,0.0,1.0,0.0,0,0,4.91189562944073,COLLISION,0,1.5222116871151603
0,0,21,34,-22.25540758245632,0.3235294117647059,0.0,0.011306545587721836,0.7922736978653069,1.0,0.0,0.9155984647455372,0.0,1.0,0.0,0,0,5.085121527242263,VELOCITY_LIMIT,0,0.9155984647455372
0,0,22,75,-25.313430589846977,0.21333333333333335,0.0,0.014852558277679192,0.7924100355745458,1.0,0.0,1.4594270353492131,0.0,1.0,0.0,0,0,4.586650607969934,VELOCITY_LIMIT,0,1.4594270353492131
1,0,23,52,-34.16371089872766,0.23076923076923078,0.0,-0.028468530105077848,0.7061514947030898,1.0,0.0,0.9182666739406675,0.0,1.0,0.0,0,0,4.86864658168901,COLLISION,0,0.9182666739406675
0,0,24,37,-25.154224549828847,0.0,0.0,0.013660838159762745,0.8034971415105435,1.0,0.0,0.7354316266466336,0.0,1.0,0.0,0,0,5.0495766531057305,VELOCITY_LIMIT,0,0.7354316266466336
1,0,25,53,-37.4137344394895,0.03773584905660377,0.0,-0.046054052507993035,0.8028825692312084,1.0,0.0,1.0337339437958302,0.0,1.0,0.0,0,0,4.8546600809850515,COLLISION,0,1.0337339437958302
1,0,26,49,-35.30104656476918,0.40816326530612246,0.0,-0.10135518249778741,0.752817360641456,1.0,0.0,0.7985964618292177,0.0,1.0,0.0,0,0,4.905449786409699,COLLISION,0,0.7985964618292177
0,0,27,78,-33.30084291186394,0.3333333333333333,0.0,0.024191675940722072,0.2880823628407314,1.0,0.0,2.879317689364178,0.0,1.0,0.0,0,0,4.542549430924213,VELOCITY_LIMIT,0,2.879317689364178
1,0,28,36,-35.60679575018442,0.0,0.0,-0.0017003322633850641,0.8031808987040547,1.0,0.0,0.7605405036770377,0.0,1.0,0.0,0,0,5.061792129278266,COLLISION,0,0.7605405036770377
1,0,29,33,-32.16809913143023,0.5454545454545454,0.0,0.045226632675487446,0.7058314083087018,1.0,0.0,0.9306687414431307,0.0,1.0,0.0,0,0,5.096467508714727,COLLISION,0,0.9306687414431307
1,0,30,59,-36.68907943039076,0.4406779661016949,0.0,-0.11957454543573008,0.6567889988222859,1.0,0.0,1.1990780769480487,0.0,1.0,0.0,0,0,4.781026803239198,COLLISION,0,1.1990780769480487
0,0,31,149,-34.3826415585426,0.2953020134228188,0.0,0.031986234953203505,0.42332103184607917,1.0,0.0,3.620031998316585,0.0,1.0,0.0,0,0,3.6820675724110385,VELOCITY_LIMIT,0,3.620031998316585
1,0,32,155,-56.806068657483976,0.21935483870967742,0.0,0.06333195651327862,0.22574305512161794,1.0,0.0,4.817710345847598,0.0,1.0,0.0,0,0,3.6031455526770553,COLLISION,0,4.817710345847598
0,0,33,42,-17.0221744405856,0.7857142857142857,0.0,0.05901022071577059,0.3827626501581682,1.0,0.0,0.9200255885484652,0.0,1.0,0.0,0,0,4.98833627331004,VELOCITY_LIMIT,0,0.9200255885484652
1,0,34,36,-35.399905288969805,0.1388888888888889,0.0,-0.036804957378694075,0.7818522028615164,1.0,0.0,0.7960418195620341,0.0,1.0,0.0,0,0,5.061099218505421,COLLISION,0,0.7960418195620341
1,0,35,112,-47.734633660373724,0.38392857142857145,0.0,0.07755071126197521,0.4373855372012195,1.0,0.0,3.2626680197849454,0.0,1.0,0.0,0,0,4.12766035103327,COLLISION,0,3.2626680197849454
1,0,36,45,-33.30754720678879,0.4222222222222222,0.0,-0.008299193981310855,0.7281687093354252,1.0,0.0,1.038330846939551,0.0,1.0,0.0,0,0,4.951973090584677,COLLISION,0,1.038330846939551
0,0,37,102,-33.4618064592628,0.39215686274509803,0.0,-0.04114667401276756,0.6592586502278591,1.0,0.0,2.502210958888655,0.0,1.0,0.0,0,0,4.256445792376985,VELOCITY_LIMIT,0,2.502210958888655
0,0,38,30,-24.34661934450941,0.0,0.0,-0.03503402983649536,0.8003126132416495,1.0,0.0,0.724571250333336,0.0,1.0,0.0,0,0,5.134241132292338,VELOCITY_LIMIT,0,0.724571250333336
0,0,39,64,-37.9964980720292,0.171875,0.0,0.0373298662203384,0.7276039955932121,1.0,0.0,3.1696828151972936,0.0,1.0,0.0,0,0,4.70610296497378,VELOCITY_LIMIT,0,3.1696828151972936
0,0,40,92,-25.92849060905541,0.4782608695652174,0.0,0.01561988104978859,0.36972791011177747,1.0,0.0,2.5208507508963556,0.0,1.0,0.0,0,0,4.377050499108442,VELOCITY_LIMIT,0,2.5208507508963556
0,0,41,28,4.7662915323060275,0.8571428571428571,0.0,0.31506208768937866,0.16059851873197392,1.0,0.0,0.7083949462094413,1.0,0.0,0.23893317978999007,0,1,5.157164469637671,VELOCITY_LIMIT,0,0.9473281259994314
0,0,42,111,12.561228368267404,0.2702702702702703,0.0,0.03284232227206302,0.10207390894699345,1.0,0.0,0.693159061472782,1.0,0.0,2.9364836069956675,0,1,4.139436087639783,VELOCITY_LIMIT,0,3.62964266846845
0,0,43,84,-39.38005216304312,0.2261904761904762,0.0,-0.03184106299696855,0.5361561959490302,1.0,0.0,3.1385785807396904,0.0,1.0,0.0,0,0,4.468955064386419,VELOCITY_LIMIT,0,3.1385785807396904
0,0,44,135,-30.505293148692893,0.362962962962963,0.0,0.09013009650410185,0.7202116038610027,1.0,0.0,3.6774282773458746,0.0,1.0,0.0,0,0,3.849583815579287,VELOCITY_LIMIT,0,3.6774282773458746
0,0,45,29,-23.372126507802896,0.4827586206896552,0.0,0.18362101458975325,0.6569992724092573,1.0,0.0,1.3632161671073035,0.0,1.0,0.0,0,0,5.141680354858889,VELOCITY_LIMIT,0,1.3632161671073035
0,0,46,50,-17.484006191410273,0.8,0.0,0.09285754414503691,0.2833435153478962,1.0,0.0,1.3736553847474837,0.0,1.0,0.0,0,0,4.88989527454756,VELOCITY_LIMIT,0,1.3736553847474837
0,0,47,32,5.670008893350779,0.9375,0.0,0.24635619809200549,0.12387479605466173,1.0,0.0,0.6575616531108183,1.0,0.0,0.2432024303893044,0,1,5.109478596690093,VELOCITY_LIMIT,0,0.9007640835001226
0,0,48,38,-25.178741002058526,0.23684210526315788,0.0,-0.03168721041451804,0.763655191891694,1.0,0.0,1.1990211256105576,0.0,1.0,0.0,0,0,5.0354119417117476,VELOCITY_LIMIT,0,1.1990211256105576
0,0,49,70,-23.89986260725832,0.44285714285714284,0.0,0.14818207897985,0.38198555092119585,1.0,0.0,2.3378829196208453,0.0,1.0,0.0,0,0,4.6407359121380045,VELOCITY_LIMIT,0,2.3378829196208453
1,0,50,101,-54.345519029931715,0.07920792079207921,0.0,0.019183233249758697,0.7899645478538381,1.0,0.0,3.877517767252927,0.0,1.0,0.0,0,0,4.257263435378908,COLLISION,0,3.877517767252927
1,0,51,57,-33.1763456702037,0.2631578947368421,0.0,0.025527063420220483,0.7962328985272967,1.0,0.0,1.3891062390095412,0.0,1.0,0.0,0,0,4.803851143021673,COLLISION,0,1.3891062390095412
1,0,52,38,-35.24636586893597,0.18421052631578946,0.0,-0.016766717676506934,0.7620275596642808,1.0,0.0,0.6577458175588167,0.0,1.0,0.0,0,0,5.038163535778237,COLLISION,0,0.6577458175588167
0,0,53,84,-31.64514788617934,0.38095238095238093,0.0,0.10697521196557117,0.28849675433369515,1.0,0.0,3.0920669244156196,0.0,1.0,0.0,0,0,4.468090556383845,VELOCITY_LIMIT,0,3.0920669244156196
0,0,54,86,-38.76283514812144,0.3023255813953488,0.0,-0.061555073903636896,0.7026693164681952,1.0,0.0,3.137707916379801,0.0,1.0,0.0,0,0,4.443564720655277,VELOCITY_LIMIT,0,3.137707916379801
0,0,55,34,5.5061765929063675,1.0,0.0,0.30114975675971184,0.14467445623165062,1.0,0.0,0.735119610755592,1.0,0.0,0.11968639044203924,0,1,5.085696828297482,VELOCITY_LIMIT,0,0.8548060011976312
0,0,56,44,-21.878179356075282,0.5909090909090909,0.0,0.1315963554601146,0.5602292305358247,1.0,0.0,1.5005716157354405,0.0,1.0,0.0,0,0,4.959123405965704,VELOCITY_LIMIT,0,1.5005716157354405
1,0,57,40,-35.055924661139265,0.3,0.0,-0.05441894026630974,0.6585733383141479,1.0,0.0,0.8095829036294714,0.0,1.0,0.0,0,0,5.013480767853995,COLLISION,0,0.8095829036294714
1,0,58,43,-37.974362081648835,0.0,0.0,-0.04308889921186349,0.8006042971312163,1.0,0.0,1.0693231631563238,0.0,1.0,0.0,0,0,4.975081794972726,COLLISION,0,1.0693231631563238
0,0,59,17,-20.242063351449982,0.29411764705882354,0.0,0.04550729097781754,0.8017373114113506,1.0,0.0,0.2547919622740686,0.0,1.0,0.0,0,0,5.293669620145885,VELOCITY_LIMIT,0,0.2547919622740686
1,0,60,19,-34.78474283149401,0.0,0.0,-0.3264925468851094,0.803288409804485,1.0,0.0,0.49369422773259175,0.0,1.0,0.0,0,0,5.268091726442342,COLLISION,0,0.49369422773259175
1,0,61,93,-38.566136012456376,0.46236559139784944,0.0,-0.05827967163166821,0.44070051855690395,1.0,0.0,2.0864117159549123,0.0,1.0,0.0,0,0,4.366202616290486,COLLISION,0,2.0864117159549123
1,0,62,76,-43.79921741851783,0.2894736842105263,0.0,-0.009854846037163975,0.592864592078946,1.0,0.0,2.499034683508161,0.0,1.0,0.0,0,0,4.569508730920645,COLLISION,0,2.499034683508161
0,0,63,84,-37.301107386610674,0.03571428571428571,0.0,-0.06399988264526132,0.8020272792593024,1.0,0.0,2.797433305785873,0.0,1.0,0.0,0,0,4.469783765107583,VELOCITY_LIMIT,0,2.797433305785873
