collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
0,0,152,25.787080880702682,0,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,1,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,2,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,3,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,4,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,5,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,6,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,7,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,8,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,9,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,10,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,11,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,12,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,13,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,14,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,15,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,16,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,17,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,18,1,0,PREMATURE_TERMINAL
0,0,152,25.787080880702682,19,1,0,PREMATURE_TERMINAL
