collision,energy_depleted,episode_id,episode_length,episode_return,outbound_path_length,return_path_length,return_success,task_success,terminal_energy,timeout,total_path_length
0,0,0,29,-20.645849155418457,0.4319243471343427,0.0,0,0,29.64795569566309,0,0.4319243471343427
1,0,1,53,-35.75717646066155,0.8378826306408347,0.0,0,0,29.356227112785206,0,0.8378826306408347
0,0,2,13,-21.70487878073106,0.2220686775357635,0.0,0,0,29.84199008612808,0,0.2220686775357635
1,0,3,31,-34.23025386860406,0.5697484654420091,0.0,0,0,29.623441952978318,0,0.5697484654420091
0,0,4,58,-7.4676398693683606,1.692383669187481,0.0,0,0,29.291358112899978,0,1.692383669187481
1,0,5,123,-27.296505284351518,2.7833512543872136,0.0,0,0,28.4996429304969,0,2.7833512543872136
1,0,6,76,-32.46691701695112,1.6185632108087558,0.0,0,0,29.07335407862001,0,1.6185632108087558
0,0,7,101,-4.194728285784208,3.4312701687666154,0.0,0,0,28.764099562108456,0,3.4312701687666154
1,0,8,22,-34.43637510046847,0.4804755632055317,0.0,0,0,29.73256077252137,0,0.4804755632055317
1,0,9,28,-24.17759415285795,0.915781804912688,0.0,0,0,29.65654531842355,0,0.915781804912688
1,0,10,58,-35.25072338080513,0.6791136876890137,0.0,0,0,29.297724721782483,0,0.6791136876890137
0,0,11,41,-16.296948802566963,1.1947628464322935,0.0,0,0,29.497490791269975,0,1.1947628464322935
1,0,12,39,-35.05683184839492,0.7438194482199478,0.0,0,0,29.52613755612203,0,0.7438194482199478
1,0,13,66,-21.490538662506275,1.9521354412307081,0.0,0,0,29.19141823526995,0,1.9521354412307081
1,0,14,53,-34.97808853027102,1.1447982582336445,0.0,0,0,29.354065072317745,0,1.1447982582336445
1,0,15,36,-23.07524250312849,0.8468987194094532,0.0,0,0,29.560886509458445,0,0.8468987194094532
1,0,16,43,-23.951746820299363,0.8400459706150639,0.0,0,0,29.47667339934068,0,0.8400459706150639
0,0,17,37,-17.74704640357523,0.6967347854979216,0.0,0,0,29.549841003480207,0,0.6967347854979216
1,0,18,42,-33.62797554687463,0.6890900531528052,0.0,0,0,29.49011189055245,0,0.6890900531528052
0,0,19,63,-16.1684839093956,1.8986313831666177,0.0,0,0,29.22898614037999,0,1.8986313831666177
0,0,20,28,-18.941842955944022,0.8288663249196292,0.0,0,0,29.657474875302004,0,0.8288663249196292
0,0,21,30,-11.946374094348696,0.9251204953399521,0.0,0,0,29.63280675609237,0,0.9251204953399521
0,0,22,60,-13.722161486653972,2.051006569901605,0.0,0,0,29.265119109233822,0,2.051006569901605
1,0,23,36,-24.017225392739388,0.9277747839601098,0.0,0,0,29.560266884253977,0,0.9277747839601098
1,0,24,70,-25.641302873288094,1.7279397309062354,0.0,0,0,29.145713405748054,0,1.7279397309062354
1,0,25,40,-33.438981211607334,0.8950706716056073,0.0,0,0,29.51230874221392,0,0.8950706716056073
1,0,26,66,-24.045982253211157,1.405784241552555,0.0,0,0,29.196566242841666,0,1.405784241552555
0,0,27,50,-15.37912455077634,1.1517899236140523,0.0,0,0,29.390992378976758,0,1.1517899236140523
0,0,28,87,-12.680916483002719,2.216000118669081,0.0,0,0,28.938924389273414,0,2.216000118669081
1,0,29,36,-29.325766709492644,1.1044197760093304,0.0,0,0,29.558539062958836,0,1.1044197760093304
0,0,30,63,-21.402393925732415,2.3811416873241416,0.0,0,0,29.22704598480359,0,2.3811416873241416
1,0,31,20,-35.93467543466401,0.6282872613613861,0.0,0,0,29.754573221292926,0,0.6282872613613861
0,0,32,52,-13.728398472113096,1.3027673540408278,0.0,0,0,29.365902214751145,0,1.3027673540408278
1,0,33,76,-23.770533961407676,2.1863690061635714,0.0,0,0,29.071147371673657,0,2.1863690061635714
1,0,34,55,-24.796947984896164,1.1962404999020608,0.0,0,0,29.33016533343018,0,1.1962404999020608
1,0,35,99,-35.98145371951353,2.0012241166270344,0.0,0,0,28.79465040417905,0,2.0012241166270344
1,0,36,57,-34.91584594575908,0.9732944754958622,0.0,0,0,29.307170603471185,0,0.9732944754958622
0,0,37,31,-22.13535615573759,0.9200968554463237,0.0,0,0,29.620098296255595,0,0.9200968554463237
1,0,38,28,-24.394676102562926,0.7318214267260921,0.0,0,0,29.657968303320796,0,0.7318214267260921
