collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
0,0,11,-16.62112981739821,0,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,1,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,2,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,3,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,4,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,5,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,6,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,7,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,8,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,9,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,10,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,11,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,12,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,13,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,14,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,15,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,16,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,17,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,18,0,0,VELOCITY_LIMIT
0,0,11,-16.62112981739821,19,0,0,VELOCITY_LIMIT
