collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
0,0,102,26.02904498431678,0,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,1,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,2,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,3,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,4,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,5,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,6,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,7,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,8,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,9,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,10,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,11,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,12,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,13,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,14,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,15,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,16,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,17,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,18,1,0,PREMATURE_TERMINAL
0,0,102,26.02904498431678,19,1,0,PREMATURE_TERMINAL
