accepted,actor_loss,alpha,critic_loss_1,critic_loss_2,elapsed_seconds,energy,entropy,environment_step,episode_id,episode_step,fallback,fallback_reason,gradient_norm,mission_phase,q_value_exec,reward,zonotope_volume
0,,,,,0.013497402018401772,29.9879352,,1,0,1,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.0362632983627691,
0,,,,,0.019826611009193584,29.975814833150398,,2,0,2,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.11888806798061159,
1,,,,,0.025924918008968234,29.963666512047556,,3,0,3,0,,,OUTBOUND,,0.14060716396398737,
0,,,,,0.03215909001301043,29.951522828929026,,4,0,4,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.15375732241210466,
0,,,,,0.041215466015273705,29.939331778185753,,5,0,5,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.2021336486811195,
0,,,,,0.1331930260057561,29.92709752236085,,6,0,6,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.2381428304073581,
0,,,,,0.1432010620192159,29.914823948095485,,7,0,7,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.2637510722552683,
0,,,,,0.15021535000414588,29.902514438841,,8,0,8,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.2804961752956589,
0,,,,,0.15650798901333474,29.890171711071805,,9,0,9,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.28951331217501025,
0,,,,,0.16071973502403125,29.877812191361947,,10,0,10,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.2731313347732949,
0,,,,,0.16978795701288618,29.865472014350193,,11,0,11,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.254089667046337,
0,,,,,0.17696109702228568,29.853116717434595,,12,0,12,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.23529610229479828,
0,,,,,0.18458641300094314,29.84078076980754,,13,0,13,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.21488773073301776,
0,,,,,0.18893535900861025,29.828429941083574,,14,0,14,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.19474710268400425,
0,,,,,0.19553338800324127,29.816098765678447,,15,0,15,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.17378862476382634,
0,,,,,0.1997625180229079,29.80375183305521,,16,0,16,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.15307851381471133,
0,,,,,0.20433437800966203,29.791441517522234,,17,0,17,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.12703438534187403,
0,,,,,0.30804570400505327,29.779144051245098,,18,0,18,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.10847803930251353,
0,,,,,0.31413881402113475,29.766833239087102,,19,0,19,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.0900477043104256,
0,,,,,0.32109899300849065,29.75453674556415,,20,0,20,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.07192623807941516,
0,,,,,0.32560342602664605,29.74222435099352,,21,0,21,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.05386632803782194,
0,,,,,0.33426016400335357,29.72992779858789,,22,0,22,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.036295204523696535,
0,,,,,0.33917486501741223,29.717612788226216,,23,0,23,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.018734184596905998,
0,,,,,0.3452808240253944,29.705331146397185,,24,0,24,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,0.0053534990049781475,
1,,,,,0.35299033200135455,29.693071624582526,,25,0,25,0,,,OUTBOUND,,-0.009695453641908578,
0,,,,,0.36015528001007624,29.680830759892928,,26,0,26,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.026061102728983116,
0,,,,,0.3668126960110385,29.668519860176424,,27,0,27,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.07679615323179588,
0,,,,,0.37115888501284644,29.656182900528048,,28,0,28,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.12025100669391842,
0,,,,,0.3794440570054576,29.64384694648012,,29,0,29,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.15473595167707635,
0,,,,,0.3862712870177347,29.631477791563857,,30,0,30,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.18705895105292364,
0,,,,,0.39749729601317085,29.619124993864787,,31,0,31,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.20994036011168896,
0,,,,,0.4060286210151389,29.60673649159278,,32,0,32,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.2317370035766206,
0,,,,,0.41419679700629786,29.594388886916864,,33,0,33,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.21894769056451907,
1,,,,,0.5059168050065637,29.582082858913495,,34,0,34,0,,,OUTBOUND,,-0.20188146723470554,
0,,,,,0.5126074000145309,29.56977670937949,,35,0,35,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.21248423780401418,
0,,,,,0.5208329460001551,29.55742648108901,,36,0,36,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.25217558981841176,
0,,,,,0.5301403250196017,29.54504575565477,,37,0,37,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.2628173165291486,
0,,,,,0.5371951980050653,29.532705124290953,,38,0,38,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.24591684612456555,
0,,,,,0.5486888180021197,29.52038250248888,,39,0,39,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.2518343633451593,
0,,,,,0.5557538860011846,29.508036241812956,,40,0,40,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.2582447505339447,
0,,,,,0.5622296220099088,29.495709572037406,,41,0,41,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.26256451798318897,
0,,,,,0.5661550760269165,29.483360706386044,,42,0,42,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.2675415484518116,
0,,,,,0.577882566023618,29.471032451034716,,43,0,43,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.2713178833534233,
0,,,,,0.5871135800261982,29.4586827289861,,44,0,44,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.27580041629042545,
0,,,,,0.5940181270125322,29.44636990059711,,45,0,45,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.256392375196255,
0,,,,,0.6021945970132947,29.434071103427602,,46,0,46,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.26000739218424096,
0,,,,,0.692323536000913,29.42175487313474,,47,0,47,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.2642838098153889,
0,,,,,0.6989549610007089,29.409458327104087,,48,0,48,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.2677832491953327,
1,,,,,0.7074549670214765,29.397149323415526,,49,0,49,0,,,OUTBOUND,,-0.2671782602343944,
0,,,,,0.7138633960275911,29.384864986786276,,50,0,50,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.26049978082969827,
0,,,,,0.7204405560041778,29.37257649090855,,51,0,51,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.2705237756731957,
0,,,,,0.7286657400254626,29.36029071509574,,52,0,52,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.2699695299509198,
0,,,,,0.735556888015708,29.348015416207573,,53,0,53,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.2609033525443063,
0,,,,,0.7423184680228587,29.335757278696697,,54,0,54,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.24537416101339357,
1,,,,,0.7510594840277918,29.3235295450946,,55,0,55,0,,,OUTBOUND,,-0.22172551669324855,
0,,,,,0.7630638030241244,29.311287298844878,,56,0,56,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.1969470340989797,
0,,,,,0.7757863650040235,29.299081500417532,,57,0,57,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.1751230524794548,
1,,,,,0.8687154010112863,29.286922864842577,,58,0,58,0,,,OUTBOUND,,-0.16166798229841728,
0,,,,,0.8755896020156797,29.274717545785215,,59,0,59,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.1465088738710855,
0,,,,,0.8818856140132993,29.262561887512884,,60,0,60,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.12074462508582286,
0,,,,,0.890425514022354,29.250448341861052,,61,0,61,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.0971803057091463,
0,,,,,0.8970419130055234,29.238368105910013,,62,0,62,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,FAILURE,,-0.07628765719585962,
