collision,energy_depleted,episode_id,episode_length,episode_return,outbound_path_length,return_path_length,return_success,task_success,terminal_energy,timeout,total_path_length
1,0,0,145,-48.09857995900137,4.201475867227147,0.0,0,0,28.227877970570542,0,4.201475867227147
1,0,1,35,-36.02209578719991,0.9734175988453081,0.0,0,0,29.572290926656517,0,0.9734175988453081
1,0,2,22,-35.11167481289969,0.5795071776547559,0.0,0,0,29.73113012370461,0,0.5795071776547559
1,0,3,25,-34.918516480771544,0.5235393191178157,0.0,0,0,29.695554201061736,0,0.5235393191178157
1,0,4,209,-11.604699506625831,5.551120705751626,0.0,0,0,27.44776504678925,0,5.551120705751626
0,0,5,47,-29.67033707785467,1.9407382716272137,0.0,0,0,29.42248250174672,0,1.9407382716272137
1,0,6,36,-35.24772769839933,0.7940285868303657,0.0,0,0,29.560788804517273,0,0.7940285868303657
1,0,7,45,-18.383681093491234,1.652761993675028,0.0,0,0,29.44689385773363,0,1.652761993675028
1,0,8,48,-32.34570189798564,0.8632641282394654,0.0,0,0,29.417248805834358,0,0.8632641282394654
1,0,9,53,-25.042845516428095,1.2588504189929706,0.0,0,0,29.35317188546621,0,1.2588504189929706
0,0,10,31,-22.937978631578773,0.6696804898559725,0.0,0,0,29.622095916750435,0,0.6696804898559725
1,0,11,103,-28.262628720505447,1.8930037992102489,0.0,0,0,28.747617789231953,0,1.8930037992102489
1,0,12,90,-37.052768508322124,3.6049484810118706,0.0,0,0,28.892824366850302,0,3.6049484810118706
0,0,13,26,-19.556885457794,0.46710166684682386,0.0,0,0,29.683755137325928,0,0.46710166684682386
1,0,14,42,-25.303418410359757,1.1358315771302951,0.0,0,0,29.48626943125758,0,1.1358315771302951
1,0,15,73,-26.322538732666047,1.5334321123821746,0.0,0,0,29.111358975072562,0,1.5334321123821746
1,0,16,44,-25.155843985357436,1.2541044767318907,0.0,0,0,29.461532237108788,0,1.2541044767318907
1,0,17,44,-35.2234311381361,0.8326154861587604,0.0,0,0,29.46501955070545,0,0.8326154861587604
1,0,18,112,-36.757534759874915,2.0503844745535953,0.0,0,0,28.63880401944504,0,2.0503844745535953
1,0,19,42,-35.052172306883016,0.6022868354925054,0.0,0,0,29.490499717902537,0,0.6022868354925054
1,0,20,37,-35.23575188961406,1.0175999101976663,0.0,0,0,29.5480355166007,0,1.0175999101976663
0,0,21,19,-18.62272938789326,0.3474574557951846,0.0,0,0,29.76891384827955,0,0.3474574557951846
0,0,22,56,-3.2541152432978357,1.8469429969294433,0.0,0,0,29.31487582976088,0,1.8469429969294433
1,0,23,24,-27.844967210702904,0.9097037350307786,0.0,0,0,29.705230619494735,0,0.9097037350307786
1,0,24,47,-37.73695312453091,1.6160718017002622,0.0,0,0,29.423235423017672,0,1.6160718017002622
1,0,25,82,-23.091162653523888,1.8739113895115669,0.0,0,0,29.000925331226227,0,1.8739113895115669
0,0,26,96,-12.031196071437172,2.3788333548646015,0.0,0,0,28.82871696504174,0,2.3788333548646015
0,0,27,43,-10.739318046799275,1.3958137851915629,0.0,0,0,29.472850640470213,0,1.3958137851915629
0,0,28,44,-17.268121378305803,0.9156811059999553,0.0,0,0,29.463919838623966,0,0.9156811059999553
0,0,29,65,-10.43940328669118,1.725961542149052,0.0,0,0,29.20533735889902,0,1.725961542149052
0,0,30,112,-7.213807453257335,2.5946160589350167,0.0,0,0,28.63486740008604,0,2.5946160589350167
1,0,31,38,-33.44575682430276,0.9455848436535703,0.0,0,0,29.53637968667435,0,0.9455848436535703
0,0,32,57,-1.289878443338111,2.0554438100105856,0.0,0,0,29.30163876918959,0,2.0554438100105856
