collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,23,-17.12631411472713,0.9130434782608695,0.0,0.1270222790295299,2.339351442569015,1.0,0.0,0.4603278504771161,0.0,1.0,0.0,0,0,29.720031096302034,VELOCITY_LIMIT,0,0.4603278504771161
1,0,1,56,-26.710334716029003,0.5,0.0,0.14855411357939888,2.2643492743370413,1.0,0.0,1.4676712383747614,0.0,1.0,0.0,0,0,29.315802734141172,COLLISION,0,1.4676712383747614
1,0,2,91,-16.245481294864817,0.9010989010989011,0.0,0.07371925955351817,1.1824358175523662,1.0,0.0,2.474123919641304,0.0,1.0,0.0,0,0,28.887688065884706,COLLISION,0,2.474123919641304
1,0,3,45,-35.19764739637244,0.044444444444444446,0.0,-0.027223592780525975,2.653251613947252,1.0,0.0,0.6616576609471946,0.0,1.0,0.0,0,0,29.454176688451735,COLLISION,0,0.6616576609471946
1,0,4,23,-34.787798037949386,0.043478260869565216,0.0,-0.14723982400258603,2.6491866249292735,1.0,0.0,0.49568702544115983,0.0,1.0,0.0,0,0,29.719942286861162,COLLISION,0,0.49568702544115983
0,0,5,22,-15.442449237367747,0.9090909090909091,0.0,0.41738493699877444,2.171976235948551,1.0,0.0,0.5982711454311551,0.0,1.0,0.0,0,0,29.731312211776192,VELOCITY_LIMIT,0,0.5982711454311551
1,0,6,27,-31.553969766466807,0.07407407407407407,0.0,-0.013403756529325572,2.651078483286963,1.0,0.0,0.8685761408447201,0.0,1.0,0.0,0,0,29.669777527941765,COLLISION,0,0.8685761408447201
1,0,7,31,-35.048895788942296,0.06451612903225806,0.0,0.002215306022599071,2.6467383581169464,1.0,0.0,0.5980316663243783,0.0,1.0,0.0,0,0,29.62277215734155,COLLISION,0,0.5980316663243783
1,0,8,67,-30.946142367930687,0.44776119402985076,0.0,0.0197324108414402,2.618889545559978,1.0,0.0,1.326464761819625,0.0,1.0,0.0,0,0,29.183918318896836,COLLISION,0,1.326464761819625
1,0,9,67,-36.38678768264328,0.11940298507462686,0.0,-0.033678394792898116,2.6522417412010286,1.0,0.0,1.1609733017681145,0.0,1.0,0.0,0,0,29.185306057501034,COLLISION,0,1.1609733017681145
1,0,10,27,-35.35636533067991,0.0,0.0,-0.16254659089074508,2.652333663376993,1.0,0.0,0.7555290987614263,0.0,1.0,0.0,0,0,29.669833328121875,COLLISION,0,0.7555290987614263
1,0,11,21,-35.05040488573363,0.0,0.0,-0.2283067860266868,2.650017681451343,1.0,0.0,0.5514032634971148,0.0,1.0,0.0,0,0,29.74340480467623,COLLISION,0,0.5514032634971148
1,0,12,60,-32.25929055504546,0.4666666666666667,0.0,-0.004852553244785745,2.6455978588234585,1.0,0.0,1.2503472904764787,0.0,1.0,0.0,0,0,29.26921227183938,COLLISION,0,1.2503472904764787
1,0,13,38,-35.47211171451412,0.0,0.0,-0.08171068855007266,2.653303390768152,1.0,0.0,0.7787197368504901,0.0,1.0,0.0,0,0,29.5370062945833,COLLISION,0,0.7787197368504901
0,0,14,71,-8.143015855592372,0.676056338028169,0.0,0.15660985039240174,1.3924333709135195,1.0,0.0,2.1559723361909726,0.0,1.0,0.0,0,0,29.131785354282634,VELOCITY_LIMIT,0,2.1559723361909726
1,0,15,116,-44.46932800169466,0.3017241379310345,0.0,-0.016088594018084552,2.608584602568891,1.0,0.0,3.2173432820612384,0.0,1.0,0.0,0,0,28.581314757372848,COLLISION,0,3.2173432820612384
1,0,16,25,-34.78439261796974,0.08,0.0,-0.16764475718127594,2.6492383334138245,1.0,0.0,0.4996001840111261,0.0,1.0,0.0,0,0,29.696231319111686,COLLISION,0,0.4996001840111261
