accepted,actor_loss,alpha,critic_loss_1,critic_loss_2,elapsed_seconds,energy,entropy,environment_step,episode_id,episode_step,fallback,fallback_reason,gradient_norm,mission_phase,q_value_exec,reward,zonotope_volume
0,,,,,0.006942762003745884,29.9879676,,1,0,1,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.010144776818907505,
0,,,,,0.012641861976590008,29.9758992,,2,0,2,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.010487473575987347,
1,,,,,0.017946783977095038,29.96381215089716,,3,0,3,0,,,OUTBOUND,,-0.017586040445998336,
0,,,,,0.023915503988973796,29.951723120342912,,4,0,4,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.02290443295777294,
1,,,,,0.029645686998264864,29.93961748103224,,5,0,5,0,,,OUTBOUND,,-0.0018653991406505834,
0,,,,,0.11616465999395587,29.927466514324554,,6,0,6,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,0.011805368444256661,
0,,,,,0.122615758999018,29.915285580547213,,7,0,7,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.001211387977731227,
0,,,,,0.12844881799537688,29.90307366017159,,8,0,8,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.015271218792602155,
0,,,,,0.13409431299078278,29.890829819975167,,9,0,9,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.031076240675426553,
0,,,,,0.13982515499810688,29.87855322517761,,10,0,10,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.04932667374799618,
0,,,,,0.1432883589877747,29.866256462957285,,11,0,11,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.062199464294238754,
0,,,,,0.1492404769815039,29.853974144337226,,12,0,12,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.07503645485135164,
0,,,,,0.1530385149817448,29.841667840275406,,13,0,13,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.08800604828551518,
0,,,,,0.15876789100002497,29.829378013913903,,14,0,14,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.10092265922383128,
0,,,,,0.16235790398786776,29.817061892013523,,15,0,15,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.11393198854244543,
0,,,,,0.16617479399428703,29.80477930736694,,16,0,16,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.11297823342164115,
0,,,,,0.17170248000184074,29.792508161921177,,17,0,17,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.12450508395444136,
0,,,,,0.25435151997953653,29.780213927904555,,18,0,18,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.1361425740732848,
0,,,,,0.2614211539912503,29.767933473375617,,19,0,19,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.14786288561039246,
0,,,,,0.26841793398489244,29.755629058531493,,20,0,20,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.15964303046823394,
0,,,,,0.2779062109766528,29.743340531364016,,21,0,21,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.17149464656468022,
0,,,,,0.2827184939815197,29.73102718624872,,22,0,22,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.18335155057648805,
0,,,,,0.2863737930019852,29.71874706108237,,23,0,23,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.17433111558863454,
0,,,,,0.2929209069989156,29.70647782041327,,24,0,24,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.18537762380843145,
0,,,,,0.2985201099945698,29.69418663122329,,25,0,25,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.19640191120742317,
0,,,,,0.3052134999888949,29.68190862130151,,26,0,26,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.20760946761990046,
0,,,,,0.3089858469902538,29.669607550350914,,27,0,27,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.2187405809012596,
0,,,,,0.31437303498387337,29.657321754154623,,28,0,28,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.23002123429247248,
0,,,,,0.31787629099562764,29.645011829784846,,29,0,29,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.24117276441488575,
0,,,,,0.3231479539826978,29.6327190929179,,30,0,30,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.25243655586250263,
0,,,,,0.3269233070022892,29.620401213011885,,31,0,31,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.26352235579352895,
0,,,,,0.3304106619907543,29.6081170756332,,32,0,32,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.24528678749774205,
0,,,,,0.3361787179892417,29.59584478313758,,33,0,33,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.25621606410063336,
0,,,,,0.42027468598098494,29.583550217997686,,34,0,34,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.26691065572695116,
1,,,,,0.4259708259778563,29.57127987861436,,35,0,35,0,,,OUTBOUND,,-0.23796165740792344,
1,,,,,0.43162656397907995,29.559034219806495,,36,0,36,0,,,OUTBOUND,,-0.22473138270023285,
0,,,,,0.43700299598276615,29.5467568051781,,37,0,37,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.255636318872754,
0,,,,,0.4404708879883401,29.534462467275134,,38,0,38,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.27065101877556297,
0,,,,,0.4457535459951032,29.52218109731947,,39,0,39,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.28515801623132925,
0,,,,,0.4493037509964779,29.509880040179322,,40,0,40,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.2988804699233619,
0,,,,,0.45471212299889885,29.49759383885644,,41,0,41,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.3120819595003566,
0,,,,,0.45863814698532224,29.485286121917763,,42,0,42,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.324597182095155,
0,,,,,0.4646203019947279,29.472995041267318,,43,0,43,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.3366193177264916,
0,,,,,0.4681401699781418,29.460678805675993,,44,0,44,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.34804181516328514,
0,,,,,0.4715936279972084,29.448396126337524,,45,0,45,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.3192319613561086,
0,,,,,0.4769186659832485,29.436124921915752,,46,0,46,1,NOMINAL_OUTSIDE_CERTIFIED_SET,,OUTBOUND,,-0.33086671510938753,
0,,,,,0.4803410009772051,29.423830017140652,,47,0,47,1,INSUFFICIENT_RECOVERY_RESERVE,,OUTBOUND,,-0.34189304841359336,
