collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
0,0,226,81.94930895054334,0,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,1,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,2,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,3,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,4,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,5,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,6,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,7,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,8,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,9,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,10,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,11,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,12,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,13,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,14,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,15,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,16,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,17,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,18,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.94930895054334,19,1,1,TASK_AND_RETURN_SUCCESS
