accepted,actor_loss,alpha,critic_loss_1,critic_loss_2,elapsed_seconds,energy,entropy,environment_step,episode_id,episode_step,fallback,fallback_reason,gradient_norm,mission_phase,q_value_exec,reward,zonotope_volume
1,,,,,0.0014601989823859185,29.987985306280915,,1,0,1,0,,,OUTBOUND,,-0.026715025968278558,
1,,,,,0.0027868750039488077,29.97589680729953,,2,0,2,0,,,OUTBOUND,,-0.020757633145455142,
1,,,,,0.003956647007726133,29.96385604947514,,3,0,3,0,,,OUTBOUND,,0.0182181279075862,
1,,,,,0.005095325002912432,29.951772398801808,,4,0,4,0,,,OUTBOUND,,0.05752461826258395,
1,,,,,0.006324482004856691,29.939651003730557,,5,0,5,0,,,OUTBOUND,,0.046757283129747834,
1,,,,,0.007518049009377137,29.927560132933216,,6,0,6,0,,,OUTBOUND,,0.038962371431644514,
1,,,,,0.00874078000197187,29.915486895594867,,7,0,7,0,,,OUTBOUND,,0.05936887800300741,
1,,,,,0.009900953999022022,29.903407598543165,,8,0,8,0,,,OUTBOUND,,0.06611594710442605,
1,,,,,0.011075796996010467,29.89131051709066,,9,0,9,0,,,OUTBOUND,,0.0702994416399155,
1,,,,,0.012244507001014426,29.879220832158705,,10,0,10,0,,,OUTBOUND,,0.0755521659382839,
1,,,,,0.013350849010748789,29.86714079690066,,11,0,11,0,,,OUTBOUND,,0.08048963848583945,
1,,,,,0.014515625982312486,29.85505180231166,,12,0,12,0,,,OUTBOUND,,0.07298246801821053,
1,,,,,0.015592295996611938,29.84292181640661,,13,0,13,0,,,OUTBOUND,,0.10162042478296332,
1,,,,,0.01674540899693966,29.830799109727902,,14,0,14,0,,,OUTBOUND,,0.13417946129384528,
1,,,,,0.01779767998959869,29.818675029539925,,15,0,15,0,,,OUTBOUND,,0.12641217524407217,
1,,,,,0.01850756598287262,29.806527443881627,,16,0,16,0,,,OUTBOUND,,0.09153760481849427,
1,,,,,0.019763191987294704,29.794366244296935,,17,0,17,0,,,OUTBOUND,,0.09429228892372965,
1,,,,,0.020340355986263603,29.782220705077194,,18,0,18,0,,,OUTBOUND,,0.1478282648107704,
1,,,,,0.021138384006917477,29.77007170833955,,19,0,19,0,,,OUTBOUND,,0.151521627906037,
1,,,,,0.021862455003429204,29.757951576040796,,20,0,20,0,,,OUTBOUND,,0.10479143498799337,
1,,,,,0.022498748992802575,29.74582383906604,,21,0,21,0,,,OUTBOUND,,0.05967203708172643,
1,,,,,0.023110770009225234,29.733721988232624,,22,0,22,0,,,OUTBOUND,,0.021972997585786587,
1,,,,,0.02380052098305896,29.721603697003662,,23,0,23,0,,,OUTBOUND,,0.039952703854487535,
1,,,,,0.024525913002435118,29.70948139023086,,24,0,24,0,,,OUTBOUND,,0.08760600874339308,
1,,,,,0.02508246700745076,29.697353075645825,,25,0,25,0,,,OUTBOUND,,0.13436552294478088,
1,,,,,0.025711853988468647,29.685206104712332,,26,0,26,0,,,OUTBOUND,,0.17750334509296137,
1,,,,,0.026259659993229434,29.673041782207388,,27,0,27,0,,,OUTBOUND,,0.18187130862510784,
1,,,,,0.02682929500588216,29.66093998171772,,28,0,28,0,,,OUTBOUND,,0.17855170591623276,
1,,,,,0.027406103996327147,29.648822266075086,,29,0,29,0,,,OUTBOUND,,0.19995525969886127,
1,,,,,0.027989952999632806,29.636645604838982,,30,0,30,0,,,OUTBOUND,,0.1869242961660405,
1,,,,,0.028525469999294728,29.62445081123817,,31,0,31,0,,,OUTBOUND,,0.1795910255373973,
1,,,,,0.02908976300386712,29.612212666519348,,32,0,32,0,,,OUTBOUND,,0.2293747153016237,
1,,,,,0.029686655005207285,29.599902730059004,,33,0,33,0,,,OUTBOUND,,0.28863162536101933,
1,,,,,0.030295650998596102,29.587605051817132,,34,0,34,0,,,OUTBOUND,,0.30671139849256207,
1,,,,,0.030880370002705604,29.575273063496514,,35,0,35,0,,,OUTBOUND,,0.29410177275986665,
1,,,,,0.03150830799131654,29.562927410628873,,36,0,36,0,,,OUTBOUND,,0.27144170424109193,
1,,,,,0.03215592500055209,29.55053998743563,,37,0,37,0,,,OUTBOUND,,0.25143168487045636,
1,,,,,0.03272349599865265,29.538158902914763,,38,0,38,0,,,OUTBOUND,,0.26233675710347154,
1,,,,,0.03325762998429127,29.525839175784377,,39,0,39,0,,,OUTBOUND,,0.21734460964783717,
1,,,,,0.03385430798516609,29.51345527814721,,40,0,40,0,,,OUTBOUND,,0.15180457539448713,
1,,,,,0.03437776499777101,29.501126888241135,,41,0,41,0,,,OUTBOUND,,0.08535068676323546,
1,,,,,0.03491347600356676,29.488799398253168,,42,0,42,0,,,OUTBOUND,,-0.03243400010163067,
1,,,,,0.03545902299811132,29.476469931613895,,43,0,43,0,,,OUTBOUND,,-0.16629423736422966,
