accepted,actor_loss,alpha,critic_loss_1,critic_loss_2,elapsed_seconds,energy,entropy,environment_step,episode_id,episode_step,fallback,fallback_reason,gradient_norm,mission_phase,q_value_exec,reward,zonotope_volume
1,,,,,0.0008737609896343201,29.98797044224193,,1,0,1,0,,,OUTBOUND,,0.022304908278030954,
1,,,,,0.0015430969942826778,29.975894944801027,,2,0,2,0,,,OUTBOUND,,0.041044653519770234,
1,,,,,0.002212315972428769,29.96381401608431,,3,0,3,0,,,OUTBOUND,,0.020037203047559515,
1,,,,,0.0028038499876856804,29.951695373278415,,4,0,4,0,,,OUTBOUND,,0.03093267154725274,
1,,,,,0.0038416379829868674,29.939615476738037,,5,0,5,0,,,OUTBOUND,,0.07050356748780759,
1,,,,,0.0053807219956070185,29.927518427963186,,6,0,6,0,,,OUTBOUND,,0.06500238893872257,
1,,,,,0.005981512978905812,29.91544552997418,,7,0,7,0,,,OUTBOUND,,0.022288077413604553,
1,,,,,0.006520588998682797,29.903398785592973,,8,0,8,0,,,OUTBOUND,,0.005684382335878273,
1,,,,,0.007135621999623254,29.89132473256009,,9,0,9,0,,,OUTBOUND,,0.020573702146525225,
1,,,,,0.00778221499058418,29.879267193878885,,10,0,10,0,,,OUTBOUND,,0.01224558055790986,
1,,,,,0.008367952978005633,29.86721405474334,,11,0,11,0,,,OUTBOUND,,-0.039287706743308344,
1,,,,,0.009163348993752152,29.85513397651385,,12,0,12,0,,,OUTBOUND,,-0.059328623946278525,
1,,,,,0.009830595983657986,29.843040581998785,,13,0,13,0,,,OUTBOUND,,-0.04939847364305458,
1,,,,,0.010504512989427894,29.83093085699208,,14,0,14,0,,,OUTBOUND,,-0.0373760901605541,
1,,,,,0.011262669984716922,29.81880757210008,,15,0,15,0,,,OUTBOUND,,-0.04689056391005276,
1,,,,,0.012046998977893963,29.806672699380716,,16,0,16,0,,,OUTBOUND,,-0.06677102737722175,
1,,,,,0.01324104197556153,29.79450269829436,,17,0,17,0,,,OUTBOUND,,-0.04777156051134627,
1,,,,,0.013820370979374275,29.782329312994584,,18,0,18,0,,,OUTBOUND,,-0.05261330744795268,
1,,,,,0.014437424979405478,29.770131795610602,,19,0,19,0,,,OUTBOUND,,-0.11157501166714841,
1,,,,,0.015134796994971111,29.757873518525606,,20,0,20,0,,,OUTBOUND,,-0.12077610376546684,
1,,,,,0.01590577798197046,29.74566592682567,,21,0,21,0,,,OUTBOUND,,-0.1339925858946554,
1,,,,,0.016499917983310297,29.733418482510032,,22,0,22,0,,,OUTBOUND,,-0.1497536532987812,
1,,,,,0.017146951984614134,29.72122468294236,,23,0,23,0,,,OUTBOUND,,-0.12198595301005133,
1,,,,,0.01777077798033133,29.70898235877375,,24,0,24,0,,,OUTBOUND,,-0.14171112632274085,
1,,,,,0.01853756298078224,29.69677135432414,,25,0,25,0,,,OUTBOUND,,-0.16795258061394494,
1,,,,,0.019175537978298962,29.684563812405713,,26,0,26,0,,,OUTBOUND,,-0.16933499242453232,
1,,,,,0.01981923999846913,29.67232504815873,,27,0,27,0,,,OUTBOUND,,-0.14113837377017144,
1,,,,,0.02046686498215422,29.66014634152734,,28,0,28,0,,,OUTBOUND,,-0.09961426805753398,
