method,scenario,seeds,task_success_rate_mean,task_success_rate_std,return_success_rate_mean,return_success_rate_std,collision_episode_rate_mean,collision_episode_rate_std,energy_depletion_rate_mean,energy_depletion_rate_std,fallback_rate_mean,fallback_rate_std,outbound_fallback_rate_mean,outbound_fallback_rate_std,mean_zonotope_volume_mean,mean_zonotope_volume_std
generator_sac,mission_energy_tight,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,1.987213872430752e-06,0.0
generator_sac,mission_narrow,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.019607843137254943,0.0,1.273365404702009e-06,0.0
generator_sac,mission_obstacle,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6348333333333334,0.00023570226039554222,0.0,0.0,1.224088868248983e-06,2.4188547871891034e-10
generator_sac,mission_open,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9055,0.0,0.0,0.0,1.616313588215235e-06,2.117582368135751e-22
penalty_sac,mission_energy_tight,3,0.04899222641158125,0.029839706287593054,0.0,0.0,0.6126006609877578,0.11802617188514328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penalty_sac,mission_narrow,3,0.0,0.0,0.0,0.0,0.6912854587273193,0.05504065758997463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penalty_sac,mission_obstacle,3,0.0,0.0,0.0,0.0,0.6433933933933934,0.09793773024842582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penalty_sac,mission_open,3,0.0,0.0,0.0,0.0,0.5936507936507937,0.13830489467169502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_energy_tight,3,0.04126984126984127,0.021413869147987367,0.0,0.0,0.5674603174603174,0.10393492741038728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_narrow,3,0.0,0.0,0.0,0.0,0.6520955165692008,0.06629289020448793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_obstacle,3,0.0,0.0,0.0,0.0,0.6654218410315971,0.10299968047427308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sac,mission_open,3,0.023809523809523808,0.03367175148507369,0.0,0.0,0.6068847593237837,0.10068458651670559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shield_sac,mission_energy_tight,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9896666666666668,0.0018408935028645216,0.5147435897435897,0.07645333782343078,0.0,0.0
shield_sac,mission_narrow,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9756666666666667,0.0022484562605386976,0.3391047062099693,0.017385210561231514,0.0,0.0
shield_sac,mission_obstacle,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776666666666666,0.0006236095644623438,0.31187169312169316,0.026746997188791994,0.0,0.0
shield_sac,mission_open,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9896666666666668,0.0018408935028645216,0.5061965811965812,0.0722026221317884,0.0,0.0
