method,scenario,seeds,task_success_rate_mean,task_success_rate_std,return_success_rate_mean,return_success_rate_std,collision_episode_rate_mean,collision_episode_rate_std,energy_depletion_rate_mean,energy_depletion_rate_std,mean_episode_return_mean,mean_episode_return_std,fallback_rate_mean,fallback_rate_std,outbound_fallback_rate_mean,outbound_fallback_rate_std,no_generator_set_rate_mean,no_generator_set_rate_std,mean_zonotope_volume_mean,mean_zonotope_volume_std,mean_sigma_min_mean,mean_sigma_min_std,terminal_energy_mean_mean,terminal_energy_mean_std,minimum_energy_margin_mean,minimum_energy_margin_std,runtime_p99_seconds_mean,runtime_p99_seconds_std,T_policy_p99_seconds_mean,T_policy_p99_seconds_std,T_certificate_p99_seconds_mean,T_certificate_p99_seconds_std,T_total_p99_seconds_mean,T_total_p99_seconds_std,wall_time_seconds_mean,wall_time_seconds_std
generator_sac,mission_energy_tight,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.538860401105556,0.004145671722863431,0.93,0.0,0.0,0.0,0.0,0.0,1.987213872430752e-06,0.0,0.004000000189989805,0.0,2.8971220791145527,1.976228991715755e-06,1.2831075259033893,3.265387358659687e-06,0.012733279077995879,2.9979501139066048e-05,0.0005717222454647222,1.7544232328557373e-05,0.003127783663803712,1.721991844745552e-05,0.013036590510358414,1.0924253014231607e-05,48.21417757234303,0.2989726976025327
generator_sac,mission_narrow,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.17183784163959,0.0016323501241324438,0.75,0.0,0.019607843137254943,0.0,0.005,0.0,1.273365404702009e-06,0.0,0.004000000189989805,0.0,27.462999884804912,3.1497066604354297e-06,25.903026488190232,5.1660402826919365e-06,0.019419215973854684,0.000643892274902669,0.0005950573924928903,1.226209003165538e-05,0.006260223782349687,6.899971910976611e-05,0.019851124267831134,0.0007047876227023204,69.26592323700122,0.5941813771217662
generator_sac,mission_obstacle,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.563959350856,0.004075470460289822,0.6348333333333334,0.00023570226039554222,0.0,0.0,0.0,0.0,1.224088868248983e-06,2.4188547871891034e-10,0.004000000189989805,0.0,24.531367707964204,0.001432559666258616,22.69075380239609,0.0056511612854857375,0.017961216304296007,0.0001888562905216537,0.0004601771056574459,1.1113298657864254e-05,0.005815525603247807,2.994484362516596e-05,0.018244407119345853,0.000200742291198801,106.69147865330645,0.1964201717668686
generator_sac,mission_open,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,81.98165247609167,0.005688703349913866,0.9055,0.0,0.0,0.0,0.0,0.0,1.616313588215235e-06,2.117582368135751e-22,0.004000000189989805,0.0,27.262661976163766,1.6533471980141116e-06,25.640719756859923,5.780730019390642e-06,0.01186668234023576,8.637450084612396e-05,0.00043128427583724263,4.857282121626291e-06,0.002943500994006172,3.66516014681236e-05,0.012157403280531678,6.870027202268904e-05,43.75480713466337,0.2103484220360429
penalty_sac,mission_energy_tight,3,0.04899222641158125,0.029839706287593054,0.0,0.0,0.6126006609877578,0.11802617188514328,0.0,0.0,-30.35509603277349,1.2438930043398568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.812261530500489,0.09590674087727745,,,0.0016519313728592048,7.840937867720759e-05,0.0005814322002697735,1.8594823511579653e-05,,,0.0016519313728592048,7.840937867720759e-05,13.704895516333636,0.4892053216412587
penalty_sac,mission_narrow,3,0.0,0.0,0.0,0.0,0.6912854587273193,0.05504065758997463,0.0,0.0,-25.081202916643957,1.6402094162981506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.381768933975703,0.04505379785444305,,,0.0022375789630071567,7.508260985123449e-05,0.0007188692935354386,2.4653038181209838e-05,,,0.0022375789630071567,7.508260985123449e-05,16.76206093968358,0.6084680264851247
penalty_sac,mission_obstacle,3,0.0,0.0,0.0,0.0,0.6433933933933934,0.09793773024842582,0.0,0.0,-25.005383664608672,1.6872665164212555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33574774097872,0.054973605778585656,,,0.0018350798500857005,6.966280169428242e-05,0.000587020165597399,1.1521581093067025e-05,,,0.0018350798500857005,6.966280169428242e-05,13.770057481674788,0.4891049104599643
penalty_sac,mission_open,3,0.0,0.0,0.0,0.0,0.5936507936507937,0.13830489467169502,0.0,0.0,-32.1657135347283,2.324782648178877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.294416346714332,0.11518450085105807,,,0.001853956111590378,0.00020968621282273862,0.0006516251171706243,8.489606473475989e-05,,,0.001853956111590378,0.00020968621282273862,14.954064899667477,1.2143125101721555
sac,mission_energy_tight,3,0.04126984126984127,0.021413869147987367,0.0,0.0,0.5674603174603174,0.10393492741038728,0.0,0.0,-10.104003503354972,1.9383307091111945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79181922470271,0.11607627516536557,,,0.001615157952570977,6.984371022968853e-05,0.0005739761466005195,2.9451358067541136e-05,,,0.001615157952570977,6.984371022968853e-05,12.808889081662832,0.2809317811477655
sac,mission_narrow,3,0.0,0.0,0.0,0.0,0.6520955165692008,0.06629289020448793,0.0,0.0,-5.299401865116197,0.8770238513071407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.412380194645934,0.038057219469419125,,,0.0021900575441153097,4.430165912699813e-05,0.0007219886950527629,1.7560882657711035e-05,,,0.0021900575441153097,4.430165912699813e-05,15.815074638327738,0.20349644759224908
sac,mission_obstacle,3,0.0,0.0,0.0,0.0,0.6654218410315971,0.10299968047427308,0.0,0.0,-4.351597508319173,1.2883494223106944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.364028512128044,0.04366439691776912,,,0.0019283126094766581,0.00010579929007700142,0.0005885175698980067,1.654301216707127e-05,,,0.0019283126094766581,0.00010579929007700142,13.401617025995316,0.03990676566767405
sac,mission_open,3,0.023809523809523808,0.03367175148507369,0.0,0.0,0.6068847593237837,0.10068458651670559,0.0,0.0,-10.767099949872971,1.1901934809523953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.29448787374798,0.1058300693590502,,,0.0019463686947710811,0.00044081809797165964,0.0007311584358103573,0.0001687562104476189,,,0.0019463686947710811,0.00044081809797165964,13.488514374320706,0.8792895454442083
shield_sac,mission_energy_tight,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.907920985317173,0.024611396792415287,0.9896666666666668,0.0018408935028645216,0.5147435897435897,0.07645333782343078,0.0,0.0,0.0,0.0,0.0,0.0,3.663119700328432,0.005641481810230779,1.9297665812727207,0.0657267568456479,0.008238372616857911,8.786867700437405e-05,0.00060860942893972,3.329542339567354e-05,0.002588221917006498,4.118160913515241e-05,0.009717546233247653,0.00012378305574973724,35.26742813264718,1.1608022420072737
shield_sac,mission_narrow,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.999713527258034,0.013489725950308265,0.9756666666666667,0.0022484562605386976,0.3391047062099693,0.017385210561231514,0.0,0.0,0.0,0.0,0.0,0.0,28.75481872134478,0.002742899098417447,27.256253833363946,0.009228998746829985,0.014033467049788062,5.13407246012235e-05,0.000746269132165859,1.9091371796962006e-05,0.004483181130296241,8.349345323803315e-05,0.01588570188420514,4.162108119180088e-05,45.31747791799717,0.12326902367835237
shield_sac,mission_obstacle,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.115946417691873,0.008297079587549404,0.9776666666666666,0.0006236095644623438,0.31187169312169316,0.026746997188791994,0.0,0.0,0.0,0.0,0.0,0.0,28.11168251433344,0.005700307968296253,26.280756251940648,0.005640415660373002,0.011844930125516842,0.00012039349099668253,0.0005882654051917294,3.1825781622939774e-05,0.0037253197722990684,4.960765535726421e-05,0.013323987645950788,0.00012832044201884095,48.71712629235117,2.287569716257993
