collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,49,-17.386580792372484,0.7959183673469388,0.0,0.0733835322622498,0.22875339641245676,1.0,0.0,1.2791488993027627,0.0,1.0,0.0,0,0,4.902423659130502,VELOCITY_LIMIT,0,1.2791488993027627
1,0,1,37,-36.61833487364884,0.0,0.0,-0.03098487913026205,0.8006133020702861,1.0,0.0,0.9859266084670909,0.0,1.0,0.0,0,0,5.048125340881648,COLLISION,0,0.9859266084670909
1,0,2,44,-31.815072104967232,0.5,0.0,0.03354513979573047,0.636895203244089,1.0,0.0,1.0027824010792843,0.0,1.0,0.0,0,0,4.963869132390877,COLLISION,0,1.0027824010792843
1,0,3,43,-30.70813803164951,0.5348837209302325,0.0,0.11270801861806604,0.7870612216804775,1.0,0.0,1.259118568444494,0.0,1.0,0.0,0,0,4.974301001421129,COLLISION,0,1.259118568444494
0,0,4,60,-21.171151953606717,0.36666666666666664,0.0,0.04550355964749352,0.8014726046408306,1.0,0.0,1.1540828584230756,0.0,1.0,0.0,0,0,4.769799627111726,VELOCITY_LIMIT,0,1.1540828584230756
0,0,5,16,-17.75937903026603,1.0,0.0,0.2891455799938397,0.5597421840103964,1.0,0.0,0.4298373363070881,0.0,1.0,0.0,0,0,5.304280983793637,VELOCITY_LIMIT,0,0.4298373363070881
1,0,6,33,-37.10208209000518,0.15151515151515152,0.0,-0.24984145410739964,0.8011752319461103,1.0,0.0,0.9643185343011372,0.0,1.0,0.0,0,0,5.096533421405878,COLLISION,0,0.9643185343011372
1,0,7,24,-31.813163808630662,0.5,0.0,0.06873523551310627,0.6677877380686815,1.0,0.0,0.9470052281700329,0.0,1.0,0.0,0,0,5.204829793961905,COLLISION,0,0.9470052281700329
1,0,8,80,-34.412896934300086,0.3875,0.0,0.011805152065210534,0.4532132275227438,1.0,0.0,1.6163758052482107,0.0,1.0,0.0,0,0,4.5257887566354285,COLLISION,0,1.6163758052482107
1,0,9,28,-35.06918020532243,0.0,0.0,-0.1298295752802331,0.8028281343817075,1.0,0.0,0.5173874430469898,0.0,1.0,0.0,0,0,5.159678340028821,COLLISION,0,0.5173874430469898
0,0,10,42,-26.029929844443423,0.16666666666666666,0.0,-0.07748346079170926,0.8006686411267834,1.0,0.0,1.3179711683580642,0.0,1.0,0.0,0,0,4.986659847439475,VELOCITY_LIMIT,0,1.3179711683580642
