collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
0,0,74,-28.642587676696852,0,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,1,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,2,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,3,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,4,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,5,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,6,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,7,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,8,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,9,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,10,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,11,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,12,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,13,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,14,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,15,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,16,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,17,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,18,0,0,VELOCITY_LIMIT
0,0,74,-28.642587676696852,19,0,0,VELOCITY_LIMIT
