collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
1,0,60,-10.770748284847508,0,0,0,COLLISION
1,0,60,-10.770748284847508,1,0,0,COLLISION
1,0,60,-10.770748284847508,2,0,0,COLLISION
1,0,60,-10.770748284847508,3,0,0,COLLISION
1,0,60,-10.770748284847508,4,0,0,COLLISION
1,0,60,-10.770748284847508,5,0,0,COLLISION
1,0,60,-10.770748284847508,6,0,0,COLLISION
1,0,60,-10.770748284847508,7,0,0,COLLISION
1,0,60,-10.770748284847508,8,0,0,COLLISION
1,0,60,-10.770748284847508,9,0,0,COLLISION
1,0,60,-10.770748284847508,10,0,0,COLLISION
1,0,60,-10.770748284847508,11,0,0,COLLISION
1,0,60,-10.770748284847508,12,0,0,COLLISION
1,0,60,-10.770748284847508,13,0,0,COLLISION
1,0,60,-10.770748284847508,14,0,0,COLLISION
1,0,60,-10.770748284847508,15,0,0,COLLISION
1,0,60,-10.770748284847508,16,0,0,COLLISION
1,0,60,-10.770748284847508,17,0,0,COLLISION
1,0,60,-10.770748284847508,18,0,0,COLLISION
1,0,60,-10.770748284847508,19,0,0,COLLISION
