candidate_action,certificate_valid,condition_number,cos_candidate_goal,cos_center_goal,cos_exec_goal,cos_kappa_goal,distance_to_station,distance_to_task,energy_margin,environment_step,episode_id,episode_step,executed_action,fallback_reason,generator_available,kappa_action,minimum_distance_to_task_so_far,mission_phase,position,recovery_energy_required,sigma_min,velocity,zonotope_G,zonotope_center,zonotope_volume
"[-0.07912522978401892, 0.04908137764098741, 0.0022607490478456396]",1,1.74853515625,0.7929682185541752,0.7952598807406628,0.7929682185541752,0.7952598807406628,2.7484176710757775,2.830924908000305,27.31471197654356,1,0,1,"[-0.07912522978401892, 0.04908137764098741, 0.0022607490478456396]",,1,"[-0.07999999821186066, 0.05000000074505806, 0.0]",2.830924908000305,OUTBOUND,"[3.1484174954043196, 0.5009816275528197, 1.0000452149809569]",2.6847880234564414,0.004000000189989805,"[-0.015825045956803785, 0.009816275528197483, 0.00045214980956912793]","[[0.006994140800088644, 0.0, 0.0], [0.0, 0.006994140800088644, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.07999999821186066, 0.05000000074505806, 0.0]",1.5653762375222868e-06
"[-0.07953153015304612, 0.03185103221275097, 0.0007082481960805608]",1,1.7482818365097046,0.6752676283180027,0.6993570481536799,0.6752676283180027,0.6993570481536799,2.743664197820686,2.8268166987379986,27.316539573320515,2,0,2,"[-0.07953153015304612, 0.03185103221275097, 0.0007082481960805608]",,1,"[-0.0802624300122261, 0.03527558594942093, -0.0006782247219234705]",2.8268166987379986,OUTBOUND,"[3.143661855609898, 0.5035819033027142, 1.0001498099067923]",2.670951751784879,0.004000000189989805,"[-0.03173135198741301, 0.01618648197074768, 0.0005937994487852401]","[[0.006993127521127462, 0.0, 0.0], [0.0, 0.006993127521127462, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.0802624300122261, 0.03527558594942093, -0.0006782247219234705]",1.5649227407266153e-06
"[-0.07440726744018297, 0.02891891436156992, -0.0034080624472232826]",1,1.7475223541259766,0.6661729402319712,0.6022503780479536,0.6661729402319712,0.6022503780479536,2.735837448576633,2.8204970026922482,27.31835342976296,3,0,3,"[-0.07440726744018297, 0.02891891436156992, -0.0034080624472232826]",,1,"[-0.08043796569108963, 0.023757021874189377, -0.0009811291238293052]",2.8204970026922482,OUTBOUND,"[3.1358274398636112, 0.5073975779840951, 1.0002004085476048]",2.6571044616169806,0.004000000189989805,"[-0.046612805475449604, 0.021970264843061665, -8.781304065941643e-05]","[[0.006990089546889067, 0.0, 0.0], [0.0, 0.006990089546889067, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.08043796569108963, 0.023757021874189377, -0.0009811291238293052]",1.563563387207978e-06
"[-0.0881246133462806, 0.007978508733693851, 8.773958692359293e-05]",1,1.7462576627731323,0.4325793613385106,0.47961598385379867,0.4325793613385106,0.47961598385379867,2.7247686026677984,2.812369858207402,27.320156343648197,4,0,4,"[-0.0881246133462806, 0.007978508733693851, 8.773958692359293e-05]",,1,"[-0.08216951042413712, 0.011844051070511341, -7.747029303573072e-05]",2.812369858207402,OUTBOUND,"[3.1247423865015955, 0.5119512011273812, 1.0001846007312114]",2.6432466517383935,0.004000000189989805,"[-0.06423772814470573, 0.023565966589800435, -7.026512327469784e-05]","[[0.006985031068325043, 0.0, 0.0], [0.0, 0.006985031068325043, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.08216951042413712, 0.011844051070511341, -7.747029303573072e-05]",1.5613011328241555e-06
"[-0.08685535571880384, 0.0035536303222733438, -0.0034747616549358285]",1,1.744489312171936,0.38434331143067263,0.40506360742063074,0.38434331143067263,0.40506360742063074,2.7102094066545583,2.8028530079885403,27.321948024036413,5,0,5,"[-0.08685535571880384, 0.0035536303222733438, -0.0034747616549358285]",,1,"[-0.0800095647573471, 0.005056445486843586, -8.622955647297204e-05]",2.8028530079885403,OUTBOUND,"[3.1101577337582786, 0.5167354670517867, 1.000101052473458]",2.6293784708550407,0.004000000189989805,"[-0.0816087992884665, 0.024276692654255104, -0.0007652174542618636]","[[0.006977957673370838, 0.0, 0.0], [0.0, 0.006977957673370838, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.0800095647573471, 0.005056445486843586, -8.622955647297204e-05]",1.5581406387354946e-06
"[-0.08225713507080687, -0.004180830040273142, -0.00025437876691992403]",1,1.7422196865081787,0.29443200240073397,0.33380672965081426,0.29443200240073397,0.33380672965081426,2.6922767380098094,2.7922567975076964,27.323731249788636,6,0,6,"[-0.08225713507080687, -0.004180830040273142, -0.00025437876691992403]",,1,"[-0.07790541648864746, -0.0007228367612697184, 0.0009702519746497273]",2.7922567975076964,OUTBOUND,"[3.092190831199169, 0.5215071889818323, 0.9999429214072673]",2.6154998025878853,0.004000000189989805,"[-0.09806022630262787, 0.023440526646200475, -0.0008160932076458484]","[[0.0069688791409134865, 0.0, 0.0], [0.0, 0.0069688791409134865, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.07790541648864746, -0.0007228367612697184, 0.0009702519746497273]",1.554088953525934e-06
"[-0.07419396962828385, 0.0010953609989799284, 0.0006882832337251536]",1,1.7394516468048096,0.3512742699317085,0.28402144399122115,0.3512742699317085,0.28402144399122115,2.6712235743358903,2.780764650786175,27.325510783919455,7,0,7,"[-0.07419396962828385, 0.0010953609989799284, 0.0006882832337251536]",,1,"[-0.07690651714801788, -0.004323926288634539, 0.0011996091343462467]",2.780764650786175,OUTBOUND,"[3.0710949065460778, 0.5262172015310521, 0.9997934684304126]",2.6016068339673493,0.004000000189989805,"[-0.11289902022828464, 0.02365959884599646, -0.0006784365609008177]","[[0.00695780711248517, 0.0, 0.0], [0.0, 0.00695780711248517, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.07690651714801788, -0.004323926288634539, 0.0011996091343462467]",1.5491546037083026e-06
"[-0.07213959029153807, -0.013381168674187888, 0.0025071990401687176]",1,1.7361887693405151,0.15351233947183526,0.2170240673517188,0.15351233947183526,0.2170240673517188,2.6472501313001713,2.7686762597360204,27.327296046244598,8,0,8,"[-0.07213959029153807, -0.013381168674187888, 0.0025071990401687176]",,1,"[-0.07823628187179565, -0.009340640157461166, 0.0011563427979126573]",2.7686762597360204,OUTBOUND,"[3.04707231069459, 0.5306814979267677, 0.9997079250990358]",2.587693748377373,0.004000000189989805,"[-0.12732693828659225, 0.020983365111158885, -0.00017699675286707414]","[[0.006944755557924509, 0.0, 0.0], [0.0, 0.006944755557924509, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.07823628187179565, -0.009340640157461166, 0.0011563427979126573]",1.5433482758453465e-06
"[-0.06383915767644113, -0.009408640692195205, -0.001985148334613147]",1,1.7324353456497192,0.18251565182317392,0.1837712318336682,0.18251565182317392,0.2040816692454982,2.6205597823314166,2.756323836754937,27.329084332830043,9,0,9,"[-0.06383915767644113, -0.009408640692195205, -0.001985148334613147]",,1,"[-0.08041460067033768, -0.010058209300041199, 0.0005398703506216407]",2.756323836754937,OUTBOUND,"[3.0203301398837428, 0.5346899981351556, 0.9996328227817701]",2.5737628352740796,0.004000000189989805,"[-0.1400947698218805, 0.019101636972719844, -0.0005740264197897036]","[[0.006929741706699133, 0.0, 0.0], [0.0, 0.006929741706699133, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.06881459802389145, -0.010058209300041199, 0.0005398703506216407]",1.5366823618023773e-06
"[-0.02922107020053851, -0.014392544084685679, 0.0020376303247428926]",1,1.728196144104004,-0.13571056432189071,-0.11970847560760749,-0.13571056432189071,0.1815627237054113,2.592008636975825,2.7440637716203127,27.33086521191629,10,0,10,"[-0.02922107020053851, -0.014392544084685679, 0.0020376303247428926]",,1,"[-0.08191746473312378, -0.011432290077209473, 0.0011708141537383199]",2.7440637716203127,OUTBOUND,"[2.991726764515356, 0.5382224746480059, 0.999558770104307]",2.559829300986298,0.004000000189989805,"[-0.1459389838619882, 0.01622312815578271, -0.00016650035484112505]","[[0.006912785116583109, 0.0, 0.0], [0.0, 0.006912785116583109, 0.0], [0.0, 0.0, 0.004000000189989805]]","[-0.02419746294617653, -0.011432290077209473, 0.0011708141537383199]",1.5291711861209478e-06
"[0.007309810005824612, -0.012356220821833892, 4.275868263293461e-05]",1,1.7234766483306885,-0.9753569244515997,-0.855052173411307,-0.9753569244515997,0.17526699283559222,2.56301669137598,2.732433094221827,27.332626725505296,11,0,11,"[0.007309810005824612, -0.012356220821833892, 4.275868263293461e-05]",,1,"[-0.08015218377113342, -0.010934853926301003, 0.0006743303965777159]",2.732433094221827,OUTBOUND,"[2.9626851639430747, 0.5412199758627257, 0.9995263252069915]",2.5459069517958723,0.004000000189989805,"[-0.14447702186082328, 0.013751883991415931, -0.00015794861831453812]","[[0.006893906742334366, 0.0, 0.0], [0.0, 0.006893906742334366, 0.0], [0.0, 0.0, 0.004000000189989805]]","[0.01258781272917986, -0.010934853926301003, 0.0006743303965777159]",1.5208304375846637e-06
