collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,29,-20.645849155418457,0.4482758620689655,0.0,-0.02293315279740514,2.799648709679612,1.0,0.0,0.4319243471343427,0.0,1.0,0.0,0,0,29.64795569566309,VELOCITY_LIMIT,0,0.4319243471343427
1,0,1,53,-35.75717646066155,0.03773584905660377,0.0,-0.004943951937315075,2.8323912657199983,1.0,0.0,0.8378826306408347,0.0,1.0,0.0,0,0,29.356227112785206,COLLISION,0,0.8378826306408347
0,0,2,13,-21.70487878073106,0.0,0.0,-0.1457904546012771,2.8345748182255615,1.0,0.0,0.2220686775357635,0.0,1.0,0.0,0,0,29.84199008612808,VELOCITY_LIMIT,0,0.2220686775357635
1,0,3,31,-34.23025386860406,0.1935483870967742,0.0,-0.19387256069713923,2.8203228575901718,1.0,0.0,0.5697484654420091,0.0,1.0,0.0,0,0,29.623441952978318,COLLISION,0,0.5697484654420091
0,0,4,58,-7.4676398693683606,0.9482758620689655,0.0,0.1535726162276697,1.5204571527034456,1.0,0.0,1.692383669187481,0.0,1.0,0.0,0,0,29.291358112899978,VELOCITY_LIMIT,0,1.692383669187481
1,0,5,123,-27.296505284351518,0.5447154471544715,0.0,0.031038426848202978,2.437551979019358,1.0,0.0,2.7833512543872136,0.0,1.0,0.0,0,0,28.4996429304969,COLLISION,0,2.7833512543872136
1,0,6,76,-32.46691701695112,0.5394736842105263,0.0,0.040310794276851275,2.6050401128335494,1.0,0.0,1.6185632108087558,0.0,1.0,0.0,0,0,29.07335407862001,COLLISION,0,1.6185632108087558
0,0,7,101,-4.194728285784208,0.9207920792079208,0.0,0.07753868319688766,1.0801282718802698,1.0,0.0,3.4312701687666154,0.0,1.0,0.0,0,0,28.764099562108456,VELOCITY_LIMIT,0,3.4312701687666154
1,0,8,22,-34.43637510046847,0.0,0.0,-0.21152614417223256,2.8362594567862294,1.0,0.0,0.4804755632055317,0.0,1.0,0.0,0,0,29.73256077252137,COLLISION,0,0.4804755632055317
1,0,9,28,-24.17759415285795,1.0,0.0,0.18918011949996094,2.221817768257928,1.0,0.0,0.915781804912688,0.0,1.0,0.0,0,0,29.65654531842355,COLLISION,0,0.915781804912688
1,0,10,58,-35.25072338080513,0.1206896551724138,0.0,-0.11095587136480581,2.8358834298030438,1.0,0.0,0.6791136876890137,0.0,1.0,0.0,0,0,29.297724721782483,COLLISION,0,0.6791136876890137
0,0,11,41,-16.296948802566963,0.6829268292682927,0.0,-0.009922434875537163,2.3323622039733087,1.0,0.0,1.1947628464322935,0.0,1.0,0.0,0,0,29.497490791269975,VELOCITY_LIMIT,0,1.1947628464322935
1,0,12,39,-35.05683184839492,0.23076923076923078,0.0,-0.19830980664889422,2.810599779094695,1.0,0.0,0.7438194482199478,0.0,1.0,0.0,0,0,29.52613755612203,COLLISION,0,0.7438194482199478
1,0,13,66,-21.490538662506275,0.9242424242424242,0.0,0.07758671033806196,1.9146470921396066,1.0,0.0,1.9521354412307081,0.0,1.0,0.0,0,0,29.19141823526995,COLLISION,0,1.9521354412307081
1,0,14,53,-34.97808853027102,0.22641509433962265,0.0,-0.011503548345631168,2.8309992550597967,1.0,0.0,1.1447982582336445,0.0,1.0,0.0,0,0,29.354065072317745,COLLISION,0,1.1447982582336445
1,0,15,36,-23.07524250312849,1.0,0.0,0.17532957983983752,2.103486944476017,1.0,0.0,0.8468987194094532,0.0,1.0,0.0,0,0,29.560886509458445,COLLISION,0,0.8468987194094532
1,0,16,43,-23.951746820299363,0.9302325581395349,0.0,0.10431812669406224,2.1840531630829862,1.0,0.0,0.8400459706150639,0.0,1.0,0.0,0,0,29.47667339934068,COLLISION,0,0.8400459706150639
0,0,17,37,-17.74704640357523,0.918918918918919,0.0,0.009113570923010109,2.5696562890147128,1.0,0.0,0.6967347854979216,0.0,1.0,0.0,0,0,29.549841003480207,VELOCITY_LIMIT,0,0.6967347854979216
1,0,18,42,-33.62797554687463,0.11904761904761904,0.0,-0.13099225288078717,2.8275154966616016,1.0,0.0,0.6890900531528052,0.0,1.0,0.0,0,0,29.49011189055245,COLLISION,0,0.6890900531528052
0,0,19,63,-16.1684839093956,0.7936507936507936,0.0,0.08008653674015577,2.3537855681934485,1.0,0.0,1.8986313831666177,0.0,1.0,0.0,0,0,29.22898614037999,VELOCITY_LIMIT,0,1.8986313831666177
0,0,20,28,-18.941842955944022,0.6785714285714286,0.0,0.03293895192338644,2.6575369362686723,1.0,0.0,0.8288663249196292,0.0,1.0,0.0,0,0,29.657474875302004,VELOCITY_LIMIT,0,0.8288663249196292
0,0,21,30,-11.946374094348696,1.0,0.0,0.324222659681234,1.9966720238446716,1.0,0.0,0.9251204953399521,0.0,1.0,0.0,0,0,29.63280675609237,VELOCITY_LIMIT,0,0.9251204953399521
0,0,22,60,-13.722161486653972,0.7,0.0,0.20974890731615442,2.1438830754283407,1.0,0.0,2.051006569901605,0.0,1.0,0.0,0,0,29.265119109233822,VELOCITY_LIMIT,0,2.051006569901605
1,0,23,36,-24.017225392739388,0.8611111111111112,0.0,0.1475696765622665,2.1976846138119024,1.0,0.0,0.9277747839601098,0.0,1.0,0.0,0,0,29.560266884253977,COLLISION,0,0.9277747839601098
1,0,24,70,-25.641302873288094,0.7714285714285715,0.0,0.008772792779803683,2.325677808388267,1.0,0.0,1.7279397309062354,0.0,1.0,0.0,0,0,29.145713405748054,COLLISION,0,1.7279397309062354
1,0,25,40,-33.438981211607334,0.275,0.0,-0.042441078444190726,2.7718772379279226,1.0,0.0,0.8950706716056073,0.0,1.0,0.0,0,0,29.51230874221392,COLLISION,0,0.8950706716056073
1,0,26,66,-24.045982253211157,0.803030303030303,0.0,0.05032126069493498,2.170196599217667,1.0,0.0,1.405784241552555,0.0,1.0,0.0,0,0,29.196566242841666,COLLISION,0,1.405784241552555
0,0,27,50,-15.37912455077634,0.94,0.0,0.016637598850848184,2.3197052551103203,1.0,0.0,1.1517899236140523,0.0,1.0,0.0,0,0,29.390992378976758,VELOCITY_LIMIT,0,1.1517899236140523
0,0,28,87,-12.680916483002719,0.6436781609195402,0.0,0.08675607530390972,2.0124323803432547,1.0,0.0,2.216000118669081,0.0,1.0,0.0,0,0,28.938924389273414,VELOCITY_LIMIT,0,2.216000118669081
1,0,29,36,-29.325766709492644,0.75,0.0,0.047933087100900496,2.654138539706611,1.0,0.0,1.1044197760093304,0.0,1.0,0.0,0,0,29.558539062958836,COLLISION,0,1.1044197760093304
0,0,30,63,-21.402393925732415,0.6666666666666666,0.0,-0.04050008717103228,2.346833399629094,1.0,0.0,2.3811416873241416,0.0,1.0,0.0,0,0,29.22704598480359,VELOCITY_LIMIT,0,2.3811416873241416
1,0,31,20,-35.93467543466401,0.15,0.0,-0.26376614185401265,2.8260239080574032,1.0,0.0,0.6282872613613861,0.0,1.0,0.0,0,0,29.754573221292926,COLLISION,0,0.6282872613613861
0,0,32,52,-13.728398472113096,0.9423076923076923,0.0,0.12754831814511502,2.15260755707977,1.0,0.0,1.3027673540408278,0.0,1.0,0.0,0,0,29.365902214751145,VELOCITY_LIMIT,0,1.3027673540408278
1,0,33,76,-23.770533961407676,0.8026315789473685,0.0,-0.004744252247590597,1.792361857186901,1.0,0.0,2.1863690061635714,0.0,1.0,0.0,0,0,29.071147371673657,COLLISION,0,2.1863690061635714
1,0,34,55,-24.796947984896164,1.0,0.0,0.09099519226775876,2.256426771476756,1.0,0.0,1.1962404999020608,0.0,1.0,0.0,0,0,29.33016533343018,COLLISION,0,1.1962404999020608
1,0,35,99,-35.98145371951353,0.20202020202020202,0.0,0.05044476974932076,2.8339390018428645,1.0,0.0,2.0012241166270344,0.0,1.0,0.0,0,0,28.79465040417905,COLLISION,0,2.0012241166270344
1,0,36,57,-34.91584594575908,0.24561403508771928,0.0,-0.005378696848919503,2.679756182279106,1.0,0.0,0.9732944754958622,0.0,1.0,0.0,0,0,29.307170603471185,COLLISION,0,0.9732944754958622
0,0,37,31,-22.13535615573759,0.12903225806451613,0.0,0.01018706985282266,2.8268247047376893,1.0,0.0,0.9200968554463237,0.0,1.0,0.0,0,0,29.620098296255595,VELOCITY_LIMIT,0,0.9200968554463237
1,0,38,28,-24.394676102562926,1.0,0.0,0.2687312531813507,2.243527386213323,1.0,0.0,0.7318214267260921,0.0,1.0,0.0,0,0,29.657968303320796,COLLISION,0,0.7318214267260921
