collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
1,0,79,-19.010129768914602,0,0,0,COLLISION
1,0,79,-19.010129768914602,1,0,0,COLLISION
1,0,79,-19.010129768914602,2,0,0,COLLISION
1,0,79,-19.010129768914602,3,0,0,COLLISION
1,0,79,-19.010129768914602,4,0,0,COLLISION
1,0,79,-19.010129768914602,5,0,0,COLLISION
1,0,79,-19.010129768914602,6,0,0,COLLISION
1,0,79,-19.010129768914602,7,0,0,COLLISION
1,0,79,-19.010129768914602,8,0,0,COLLISION
1,0,79,-19.010129768914602,9,0,0,COLLISION
1,0,79,-19.010129768914602,10,0,0,COLLISION
1,0,79,-19.010129768914602,11,0,0,COLLISION
1,0,79,-19.010129768914602,12,0,0,COLLISION
1,0,79,-19.010129768914602,13,0,0,COLLISION
1,0,79,-19.010129768914602,14,0,0,COLLISION
1,0,79,-19.010129768914602,15,0,0,COLLISION
1,0,79,-19.010129768914602,16,0,0,COLLISION
1,0,79,-19.010129768914602,17,0,0,COLLISION
1,0,79,-19.010129768914602,18,0,0,COLLISION
1,0,79,-19.010129768914602,19,0,0,COLLISION
