collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
1,0,71,-2.126459048961469,0,0,0,COLLISION
1,0,71,-2.126459048961469,1,0,0,COLLISION
1,0,71,-2.126459048961469,2,0,0,COLLISION
1,0,71,-2.126459048961469,3,0,0,COLLISION
1,0,71,-2.126459048961469,4,0,0,COLLISION
1,0,71,-2.126459048961469,5,0,0,COLLISION
1,0,71,-2.126459048961469,6,0,0,COLLISION
1,0,71,-2.126459048961469,7,0,0,COLLISION
1,0,71,-2.126459048961469,8,0,0,COLLISION
1,0,71,-2.126459048961469,9,0,0,COLLISION
1,0,71,-2.126459048961469,10,0,0,COLLISION
1,0,71,-2.126459048961469,11,0,0,COLLISION
1,0,71,-2.126459048961469,12,0,0,COLLISION
1,0,71,-2.126459048961469,13,0,0,COLLISION
1,0,71,-2.126459048961469,14,0,0,COLLISION
1,0,71,-2.126459048961469,15,0,0,COLLISION
1,0,71,-2.126459048961469,16,0,0,COLLISION
1,0,71,-2.126459048961469,17,0,0,COLLISION
1,0,71,-2.126459048961469,18,0,0,COLLISION
1,0,71,-2.126459048961469,19,0,0,COLLISION
