collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
0,0,451,109.5607133649199,0,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,1,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,2,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,3,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,4,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,5,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,6,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,7,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,8,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,9,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,10,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,11,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,12,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,13,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,14,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,15,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,16,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,17,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,18,1,1,TASK_AND_RETURN_SUCCESS
0,0,451,109.5607133649199,19,1,1,TASK_AND_RETURN_SUCCESS
