collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
1,0,89,-18.093151004553892,0,0,0,COLLISION
1,0,89,-18.093151004553892,1,0,0,COLLISION
1,0,89,-18.093151004553892,2,0,0,COLLISION
1,0,89,-18.093151004553892,3,0,0,COLLISION
1,0,89,-18.093151004553892,4,0,0,COLLISION
1,0,89,-18.093151004553892,5,0,0,COLLISION
1,0,89,-18.093151004553892,6,0,0,COLLISION
1,0,89,-18.093151004553892,7,0,0,COLLISION
1,0,89,-18.093151004553892,8,0,0,COLLISION
1,0,89,-18.093151004553892,9,0,0,COLLISION
1,0,89,-18.093151004553892,10,0,0,COLLISION
1,0,89,-18.093151004553892,11,0,0,COLLISION
1,0,89,-18.093151004553892,12,0,0,COLLISION
1,0,89,-18.093151004553892,13,0,0,COLLISION
1,0,89,-18.093151004553892,14,0,0,COLLISION
1,0,89,-18.093151004553892,15,0,0,COLLISION
1,0,89,-18.093151004553892,16,0,0,COLLISION
1,0,89,-18.093151004553892,17,0,0,COLLISION
1,0,89,-18.093151004553892,18,0,0,COLLISION
1,0,89,-18.093151004553892,19,0,0,COLLISION
