collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,29,-1.1880016188819909,0.3448275862068966,0.0,-0.03209798390636348,2.608561848386843,1.0,0.0,0.4319243471343427,0.0,1.0,0.0,0,0,29.64795569566309,VELOCITY_LIMIT,0,0.4319243471343427
1,0,1,53,-15.365237620985768,0.05660377358490566,0.0,-0.0038689854553071398,2.650900107037175,1.0,0.0,0.8378826306408347,0.0,1.0,0.0,0,0,29.356227112785206,COLLISION,0,0.8378826306408347
0,0,2,13,-1.6732221741569495,0.0,0.0,-0.11906513450406193,2.652896997073566,1.0,0.0,0.2220686775357635,0.0,1.0,0.0,0,0,29.84199008612808,VELOCITY_LIMIT,0,0.2220686775357635
1,0,3,31,-14.84020291404344,0.25806451612903225,0.0,-0.221347651078384,2.6286417132791033,1.0,0.0,0.5697484654420091,0.0,1.0,0.0,0,0,29.623441952978318,COLLISION,0,0.5697484654420091
0,0,4,58,14.109045914195072,0.9827586206896551,0.0,0.1731563331420578,1.1803867666933925,1.0,0.0,1.692383669187481,0.0,1.0,0.0,0,0,29.291358112899978,VELOCITY_LIMIT,0,1.692383669187481
1,0,5,121,-12.040456990901694,0.48760330578512395,0.0,0.022820374549039995,2.6440789125899964,1.0,0.0,2.72475748656095,0.0,1.0,0.0,0,0,28.52416047135137,COLLISION,0,2.72475748656095
1,0,6,89,-8.47615418673262,0.6292134831460674,0.0,0.055553918171577205,2.3534765170143723,1.0,0.0,1.8977643375804767,0.0,1.0,0.0,0,0,28.914813996644014,COLLISION,0,1.8977643375804767
1,0,7,134,6.138360066193492,0.6791044776119403,0.0,0.08498990657393525,0.5131145714005859,1.0,0.0,4.180601262005967,0.0,1.0,0.0,0,0,28.359837235771366,COLLISION,0,4.180601262005967
0,0,8,81,-0.6336871856731913,0.6172839506172839,0.0,0.0023743877416705513,2.3247697073988958,1.0,0.0,1.199889105248682,0.0,1.0,0.0,0,0,29.0167148024271,VELOCITY_LIMIT,0,1.199889105248682
1,0,9,27,-12.104062202060687,0.3333333333333333,0.0,-0.06477958632731508,2.5975057189896407,1.0,0.0,0.8629083692956291,0.0,1.0,0.0,0,0,29.670083595800588,COLLISION,0,0.8629083692956291
1,0,10,34,-15.224442371983368,0.029411764705882353,0.0,-0.20681085055463924,2.651324495431535,1.0,0.0,0.6751580738413206,0.0,1.0,0.0,0,0,29.586804893740176,COLLISION,0,0.6751580738413206
0,0,11,26,1.9605096267716793,0.6538461538461539,0.0,0.12727943931278615,2.4276315150362544,1.0,0.0,0.6306975185549155,0.0,1.0,0.0,0,0,29.682477713422426,VELOCITY_LIMIT,0,0.6306975185549155
