collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
0,0,226,81.96811608242584,0,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,1,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,2,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,3,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,4,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,5,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,6,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,7,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,8,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,9,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,10,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,11,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,12,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,13,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,14,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,15,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,16,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,17,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,18,1,1,TASK_AND_RETURN_SUCCESS
0,0,226,81.96811608242584,19,1,1,TASK_AND_RETURN_SUCCESS
