collision,energy_depleted,episode_id,episode_length,episode_return,fraction_steps_progressing_to_task,mean_cos_center_goal,mean_cos_exec_goal,minimum_distance_to_task,outbound_acceptance_rate,outbound_fallback_rate,outbound_path_length,return_acceptance_rate,return_fallback_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,timeout,total_path_length
0,0,0,29,-21.56248789369794,0.3448275862068966,0.0,-0.03204878003230665,0.7588175536665728,1.0,0.0,0.4319243471343427,0.0,1.0,0.0,0,0,29.64795569566309,VELOCITY_LIMIT,0,0.4319243471343427
1,0,1,53,-35.78042014897886,0.03773584905660377,0.0,-0.0014336342697534577,0.8009027990189429,1.0,0.0,0.8378826306408347,0.0,1.0,0.0,0,0,29.356227112785206,COLLISION,0,0.8378826306408347
0,0,2,13,-21.74248432461651,0.0,0.0,-0.12941424470735702,0.8028982639164152,1.0,0.0,0.2220686775357635,0.0,1.0,0.0,0,0,29.84199008612808,VELOCITY_LIMIT,0,0.2220686775357635
1,0,3,31,-34.876604862911705,0.22580645161290322,0.0,-0.2181637341328762,0.7790308099031459,1.0,0.0,0.5697484654420091,0.0,1.0,0.0,0,0,29.623441952978318,COLLISION,0,0.5697484654420091
0,0,4,58,-20.58703779570778,0.6896551724137931,0.0,0.07202732907813844,0.25521965290941834,1.0,0.0,1.692383669187481,0.0,1.0,0.0,0,0,29.291358112899978,VELOCITY_LIMIT,0,1.692383669187481
1,0,5,122,-39.560298206782626,0.21311475409836064,0.0,0.04360377947676713,0.7940982770773463,1.0,0.0,2.763801575562005,0.0,1.0,0.0,0,0,28.511944118960702,COLLISION,0,2.763801575562005
1,0,6,75,-35.627970445820814,0.3466666666666667,0.0,0.033365469388221644,0.6163242929630205,1.0,0.0,1.5051943211165204,0.0,1.0,0.0,0,0,29.086223624459695,COLLISION,0,1.5051943211165204
0,0,7,59,-24.063234420263687,0.6101694915254238,0.0,0.05546815469975925,0.37095937605803997,1.0,0.0,1.9887269182429936,0.0,1.0,0.0,0,0,29.27749489335295,VELOCITY_LIMIT,0,1.9887269182429936
0,0,8,114,-41.44598856196862,0.18421052631578946,0.0,0.00010222697898982547,0.79952548020039,1.0,0.0,3.11101464808063,0.0,1.0,0.0,0,0,28.60861189475044,VELOCITY_LIMIT,0,3.11101464808063
1,0,9,39,-35.516330391721574,0.0,0.0,-0.12201905474351868,0.8029748583923114,1.0,0.0,0.6668461421010128,0.0,1.0,0.0,0,0,29.52625028500612,COLLISION,0,0.6668461421010128
