collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
1,0,89,-43.62246147858436,0,0,0,COLLISION
1,0,89,-43.62246147858436,1,0,0,COLLISION
1,0,89,-43.62246147858436,2,0,0,COLLISION
1,0,89,-43.62246147858436,3,0,0,COLLISION
1,0,89,-43.62246147858436,4,0,0,COLLISION
1,0,89,-43.62246147858436,5,0,0,COLLISION
1,0,89,-43.62246147858436,6,0,0,COLLISION
1,0,89,-43.62246147858436,7,0,0,COLLISION
1,0,89,-43.62246147858436,8,0,0,COLLISION
1,0,89,-43.62246147858436,9,0,0,COLLISION
1,0,89,-43.62246147858436,10,0,0,COLLISION
1,0,89,-43.62246147858436,11,0,0,COLLISION
1,0,89,-43.62246147858436,12,0,0,COLLISION
1,0,89,-43.62246147858436,13,0,0,COLLISION
1,0,89,-43.62246147858436,14,0,0,COLLISION
1,0,89,-43.62246147858436,15,0,0,COLLISION
1,0,89,-43.62246147858436,16,0,0,COLLISION
1,0,89,-43.62246147858436,17,0,0,COLLISION
1,0,89,-43.62246147858436,18,0,0,COLLISION
1,0,89,-43.62246147858436,19,0,0,COLLISION
