collision,energy_depleted,episode_length,episode_return,evaluation_episode,return_success,task_success,termination_reason
1,0,49,-10.941585546492647,0,0,0,COLLISION
1,0,49,-10.941585546492647,1,0,0,COLLISION
1,0,49,-10.941585546492647,2,0,0,COLLISION
1,0,49,-10.941585546492647,3,0,0,COLLISION
1,0,49,-10.941585546492647,4,0,0,COLLISION
1,0,49,-10.941585546492647,5,0,0,COLLISION
1,0,49,-10.941585546492647,6,0,0,COLLISION
1,0,49,-10.941585546492647,7,0,0,COLLISION
1,0,49,-10.941585546492647,8,0,0,COLLISION
1,0,49,-10.941585546492647,9,0,0,COLLISION
1,0,49,-10.941585546492647,10,0,0,COLLISION
1,0,49,-10.941585546492647,11,0,0,COLLISION
1,0,49,-10.941585546492647,12,0,0,COLLISION
1,0,49,-10.941585546492647,13,0,0,COLLISION
1,0,49,-10.941585546492647,14,0,0,COLLISION
1,0,49,-10.941585546492647,15,0,0,COLLISION
1,0,49,-10.941585546492647,16,0,0,COLLISION
1,0,49,-10.941585546492647,17,0,0,COLLISION
1,0,49,-10.941585546492647,18,0,0,COLLISION
1,0,49,-10.941585546492647,19,0,0,COLLISION
