center_mode,certificate_source,collision,energy_consumed,episodes,evidence_scope,minimum_distance_to_task,outbound_intervention,path_length,return_success,scenario,seed,task_success
task_oriented,same complete-set verifier,0.0,2.7372948706185305,1,synthetic empirical center ablation,0.0036983999999997685,0.0,4.834000634438501,1.0,mission_open,0,1.0
task_oriented,same complete-set verifier,0.0,2.7372948706185305,1,synthetic empirical center ablation,0.0036983999999997685,0.0,4.834000634438501,1.0,mission_open,1,1.0
task_oriented,same complete-set verifier,0.0,2.7372948706185305,1,synthetic empirical center ablation,0.0036983999999997685,0.0,4.834000634438501,1.0,mission_open,2,1.0
task_oriented,same complete-set verifier,0.0,2.7372948706185305,1,synthetic empirical center ablation,0.0036983999999997685,0.0,4.834000634438501,1.0,mission_open,3,1.0
task_oriented,same complete-set verifier,0.0,2.7372948706185305,1,synthetic empirical center ablation,0.0036983999999997685,0.0,4.834000634438501,1.0,mission_open,4,1.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,0,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,1,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,2,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,3,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,4,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,0,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,1,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,2,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,3,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,0.8,0.0,0.0,0.0,mission_open,4,0.0
task_oriented,same complete-set verifier,0.0,5.4674820402203785,1,synthetic empirical center ablation,0.0004993518710559443,0.0,10.063971994732054,1.0,mission_obstacle,0,1.0
task_oriented,same complete-set verifier,0.0,5.4674820402203785,1,synthetic empirical center ablation,0.0004993518710559443,0.0,10.063971994732054,1.0,mission_obstacle,1,1.0
task_oriented,same complete-set verifier,0.0,5.4674820402203785,1,synthetic empirical center ablation,0.0004993518710559443,0.0,10.063971994732054,1.0,mission_obstacle,2,1.0
task_oriented,same complete-set verifier,0.0,5.4674820402203785,1,synthetic empirical center ablation,0.0004993518710559443,0.0,10.063971994732054,1.0,mission_obstacle,3,1.0
task_oriented,same complete-set verifier,0.0,5.4674820402203785,1,synthetic empirical center ablation,0.0004993518710559443,0.0,10.063971994732054,1.0,mission_obstacle,4,1.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,0,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,1,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,2,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,3,0.0
zero,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,4,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,0,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,1,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,2,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,3,0.0
braking,same complete-set verifier,0.0,6.000000000000227,1,synthetic empirical center ablation,2.65,0.0,0.0,0.0,mission_obstacle,4,0.0
