ci95_high,ci95_low,environment_step,mean,method,scenario,seeds,std
28.55136687720785,28.53976360286995,1000,28.5455652400389,generator_sac,mission_energy_tight,5,0.00661880361763197
28.55078175841602,28.536947187248575,2000,28.543864472832297,generator_sac,mission_energy_tight,5,0.007891592237234223
28.533660417649816,28.521934724058706,3000,28.52779757085426,generator_sac,mission_energy_tight,5,0.006688634681903419
28.5274462640558,28.518190070767755,4000,28.522818167411778,generator_sac,mission_energy_tight,5,0.0052799687257504835
28.5258747724139,28.518819178026327,5000,28.522346975220113,generator_sac,mission_energy_tight,5,0.004024690987826767
28.51510345033728,28.50528664812841,6000,28.510195049232845,generator_sac,mission_energy_tight,5,0.0055997543522189825
28.515438352644757,28.504198182521165,7000,28.50981826758296,generator_sac,mission_energy_tight,5,0.006411679713015561
28.517048063483067,28.506836747242353,8000,28.51194240536271,generator_sac,mission_energy_tight,5,0.0058247952178515396
28.516857367881737,28.50074337173174,9000,28.50880036980674,generator_sac,mission_energy_tight,5,0.009191834382797756
28.51976751837136,28.505993411159366,10000,28.512880464765363,generator_sac,mission_energy_tight,5,0.007857102054947178
34.18658324741947,34.17443366702536,1000,34.180508457222416,generator_sac,mission_narrow,5,0.006930430525337946
34.173595347931176,34.170209504641825,2000,34.1719024262865,generator_sac,mission_narrow,5,0.001931371366364079
34.178775786210615,34.16921425643698,3000,34.1739950213238,generator_sac,mission_narrow,5,0.0054541404445775776
34.16807818401224,34.16139243084387,4000,34.16473530742805,generator_sac,mission_narrow,5,0.0038137241237935077
34.16980867497439,34.16177623277879,5000,34.16579245387659,generator_sac,mission_narrow,5,0.004581909891505001
34.16668951894128,34.1591314145561,6000,34.16291046674869,generator_sac,mission_narrow,5,0.004311335506709586
34.161655982221376,34.15703552385712,7000,34.15934575303925,generator_sac,mission_narrow,5,0.0026356272932908657
34.16342224180168,34.155286404188544,8000,34.159354322995114,generator_sac,mission_narrow,5,0.0046408892747125015
34.1647319214035,34.158677263015704,9000,34.1617045922096,generator_sac,mission_narrow,5,0.003453731565219841
34.16432119351403,34.15943617932139,10000,34.16187868641771,generator_sac,mission_narrow,5,0.0027865366851510987
109.5760310689425,109.56616719917305,1000,109.57109913405777,generator_sac,mission_obstacle,5,0.0056266028892098825
109.56835792763783,109.56120807477211,2000,109.56478300120497,generator_sac,mission_obstacle,5,0.004078458427778245
109.5658137960951,109.55974263475956,3000,109.56277821542733,generator_sac,mission_obstacle,5,0.003463145267515472
109.56005772548939,109.55509264962116,4000,109.55757518755527,generator_sac,mission_obstacle,5,0.0028322059068415805
109.56258349202594,109.5531484763491,5000,109.55786598418752,generator_sac,mission_obstacle,5,0.005381973577093236
109.5712722529995,109.5616612809898,6000,109.56646676699465,generator_sac,mission_obstacle,5,0.0054823435570243205
109.57772542389722,109.564098488583,7000,109.57091195624011,generator_sac,mission_obstacle,5,0.0077731514509151835
109.57223225555197,109.56300090728271,8000,109.56761658141734,generator_sac,mission_obstacle,5,0.005265796493368547
109.56864655555061,109.56352253012643,9000,109.56608454283852,generator_sac,mission_obstacle,5,0.002922874787476184
109.57097999946109,109.56056527507289,10000,109.56577263726699,generator_sac,mission_obstacle,5,0.005940824412993763
81.98380747712723,81.97260919763808,1000,81.97820833738265,generator_sac,mission_open,5,0.006387784226723522
