ci95_high,ci95_low,environment_step,mean,method,scenario,seeds,std
0.0,0.0,1000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,2000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,3000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,4000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,5000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,6000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,7000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,8000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,9000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,10000,0.0,generator_sac,mission_energy_tight,5,0.0
0.0,0.0,1000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,2000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,3000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,4000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,5000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,6000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,7000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,8000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,9000,0.0,generator_sac,mission_narrow,5,0.0
0.0,0.0,10000,0.0,generator_sac,mission_narrow,5,0.0
1.0,1.0,1000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,2000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,3000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,4000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,5000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,6000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,7000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,8000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,9000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,10000,1.0,generator_sac,mission_obstacle,5,0.0
1.0,1.0,1000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,2000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,3000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,4000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,5000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,6000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,7000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,8000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,9000,1.0,generator_sac,mission_open,5,0.0
1.0,1.0,10000,1.0,generator_sac,mission_open,5,0.0
0.03238914463952747,-0.008859732874821589,1000,0.011764705882352941,penalty_sac,mission_energy_tight,5,0.023529411764705882
0.0,0.0,2000,0.0,penalty_sac,mission_energy_tight,5,0.0
0.17043969785694793,-0.006550808968059041,3000,0.08194444444444444,penalty_sac,mission_energy_tight,5,0.10095989914103472
0.06325656605502292,0.024065906793765714,4000,0.04366123642439432,penalty_sac,mission_energy_tight,5,0.02235535157938847
0.2160546458807235,0.016229869756194865,5000,0.11614225781845919,penalty_sac,mission_energy_tight,5,0.1139851487252865
0.1693158869393605,0.11558509443220909,6000,0.1424504906857848,penalty_sac,mission_energy_tight,5,0.030649414421154833
0.12818984938416852,0.07835590838110146,7000,0.10327287888263499,penalty_sac,mission_energy_tight,5,0.0284265509361153
0.16248559993625106,0.05675546899425886,8000,0.10962053446525497,penalty_sac,mission_energy_tight,5,0.06031116327965522
0.19881073443222086,0.08760725248556617,9000,0.1432089934588935,penalty_sac,mission_energy_tight,5,0.06343330228759962
0.18837305235347823,-0.001723835048779182,10000,0.09332460865234952,penalty_sac,mission_energy_tight,5,0.10843611289351301
0.0,0.0,1000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,2000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,3000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,4000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,5000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,6000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,7000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,8000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,9000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,10000,0.0,penalty_sac,mission_narrow,5,0.0
0.0,0.0,1000,0.0,penalty_sac,mission_obstacle,5,0.0
0.0,0.0,2000,0.0,penalty_sac,mission_obstacle,5,0.0
0.0,0.0,3000,0.0,penalty_sac,mission_obstacle,5,0.0
0.0,0.0,4000,0.0,penalty_sac,mission_obstacle,5,0.0
0.0,0.0,5000,0.0,penalty_sac,mission_obstacle,5,0.0
