collision,energy_depleted,episode_length,episode_return,evaluation_episode,mean_center_norm,mean_residual_norm,mean_residual_to_center_ratio,metric_source,minimum_distance_to_task,outbound_fallback_rate,outbound_intervention_rate,outbound_path_length,return_fallback_rate,return_handoff_rate,return_path_length,return_success,task_success,terminal_energy,termination_reason,total_energy_consumed,total_path_length
0,0,14,3.75242347328032,0,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6518968176833613,0.0,0.0,0.5425494897519662,1.0,1.0,0.0,0,0,29.74368505092123,VELOCITY_LIMIT,0.25631494907877084,0.5425494897519662
0,0,14,3.75242347328032,1,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.555694426218255,0.0,0.0,0.9486993808997868,1.0,1.0,0.0,0,0,29.524452648824045,VELOCITY_LIMIT,0.4755473511759547,0.9486993808997868
0,0,14,3.75242347328032,2,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6524482127272764,0.0,0.0,0.9352565997901596,1.0,1.0,0.0,0,0,29.488408416818643,VELOCITY_LIMIT,0.5115915831813567,0.9352565997901596
0,0,14,3.75242347328032,3,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6519356706426858,0.0,0.0,0.6015833729338932,1.0,1.0,0.0,0,0,29.670672435995705,VELOCITY_LIMIT,0.32932756400429497,0.6015833729338932
0,0,14,3.75242347328032,4,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6269765046821965,0.0,0.0,0.7308178748568833,1.0,1.0,0.0,0,0,29.58596333026207,VELOCITY_LIMIT,0.4140366697379285,0.7308178748568833
0,0,14,3.75242347328032,5,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6509422667127307,0.0,0.0,0.7035056159961776,1.0,1.0,0.0,0,0,29.417670385229016,VELOCITY_LIMIT,0.582329614770984,0.7035056159961776
0,0,14,3.75242347328032,6,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.448614753176427,0.0,0.0,1.3203045499600872,1.0,1.0,0.0,0,0,29.19638696625953,VELOCITY_LIMIT,0.8036130337404686,1.3203045499600872
0,0,14,3.75242347328032,7,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.650596826185926,0.0,0.0,0.6545724044767177,1.0,1.0,0.0,0,0,29.670459636811355,VELOCITY_LIMIT,0.3295403631886451,0.6545724044767177
0,0,14,3.75242347328032,8,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6314916429704835,0.0,0.0,0.6671456788857613,1.0,1.0,0.0,0,0,29.478366155829246,VELOCITY_LIMIT,0.5216338441707542,0.6671456788857613
0,0,14,3.75242347328032,9,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,1.2075253308772214,0.0,0.0,2.6949854276097716,1.0,1.0,0.0,0,0,28.850592634782704,VELOCITY_LIMIT,1.1494073652172965,2.6949854276097716
0,0,14,3.75242347328032,10,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.49962589582033,0.0,0.0,1.1713849711054751,1.0,1.0,0.0,0,0,29.25737542655389,VELOCITY_LIMIT,0.7426245734461112,1.1713849711054751
0,0,14,3.75242347328032,11,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6177373817377285,0.0,0.0,1.3066462436791002,1.0,1.0,0.0,0,0,29.31778931391641,VELOCITY_LIMIT,0.6822106860835895,1.3066462436791002
0,0,14,3.75242347328032,12,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6530306057217152,0.0,0.0,0.5478884045538818,1.0,1.0,0.0,0,0,29.707706994709177,VELOCITY_LIMIT,0.2922930052908228,0.5478884045538818
0,0,14,3.75242347328032,13,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6520349080635133,0.0,0.0,0.8817556844541046,1.0,1.0,0.0,0,0,29.560735419788724,VELOCITY_LIMIT,0.439264580211276,0.8817556844541046
0,0,14,3.75242347328032,14,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.4698353931362496,0.0,0.0,1.040480960766724,1.0,1.0,0.0,0,0,29.427103324076473,VELOCITY_LIMIT,0.572896675923527,1.040480960766724
0,0,14,3.75242347328032,15,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.568288567458116,0.0,0.0,1.6868143341395925,1.0,1.0,0.0,0,0,29.10960490484276,VELOCITY_LIMIT,0.8903950951572384,1.6868143341395925
0,0,14,3.75242347328032,16,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.598096890366595,0.0,0.0,1.0735928284961587,1.0,1.0,0.0,0,0,29.4272206071972,VELOCITY_LIMIT,0.5727793928028007,1.0735928284961587
0,0,14,3.75242347328032,17,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.629258072690367,0.0,0.0,0.6051124746480807,1.0,1.0,0.0,0,0,29.574820294270527,VELOCITY_LIMIT,0.42517970572947306,0.6051124746480807
0,0,14,3.75242347328032,18,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.6493726444702093,0.0,0.0,2.9221642460839043,1.0,1.0,0.0,0,0,28.70559630370172,VELOCITY_LIMIT,1.2944036962982786,2.9221642460839043
0,0,14,3.75242347328032,19,,,,evaluation outcomes plus matching checked-in training trajectory diagnostics,2.5136419534142895,0.0,0.0,1.7464457447553747,1.0,1.0,0.0,0,0,28.927872686796096,VELOCITY_LIMIT,1.0721273132039038,1.7464457447553747
