acceptance_rate,accepted_batch_count,accepted_count,actor_loss,actor_status,alpha,alpha_loss,certificate_failure_rate,collision,critic_loss_1,critic_loss_2,deadline_fallback_count,energy_depleted,environment_steps,episode_length,episode_return,epoch_rejection_count,fallback_batch_count,fallback_count,fallback_rate,gradient_steps,mean_condition_number,mean_log_det_G,mean_log_prob,mean_tanh_log_jacobian,mean_zonotope_volume,min_sigma,no_generator_set_rate,nonfinite_count,q_value_candidate_if_available,q_value_exec,replay_size,task_success,terminal_return_success
1.0,,1,,,,,0.0,0,,,0,0,1,1,-0.008876330728481588,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,1,0,1
1.0,,2,,,,,0.0,0,,,0,0,2,1,-0.010101761940838774,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,2,0,0
1.0,,3,,,,,0.0,0,,,0,0,3,1,-0.009935796518165887,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,3,0,1
1.0,,4,,,,,0.0,0,,,0,0,4,1,-0.009692715448476488,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,4,0,1
1.0,,5,,,,,0.0,0,,,0,0,5,1,-0.010891428915629877,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,5,0,1
1.0,,6,,,,,0.0,0,,,0,0,6,1,-0.009411531552264698,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,6,0,1
1.0,,7,,,,,0.0,0,,,0,0,7,1,-0.011027169177951315,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,7,0,1
1.0,,8,,,,,0.0,0,,,0,0,8,1,-0.009300716722275606,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,8,0,0
1.0,,9,,,,,0.0,0,,,0,0,9,1,-0.01222017284031173,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,9,0,0
1.0,,10,,,,,0.0,0,,,0,0,10,1,-0.010208030231001466,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,10,0,1
1.0,,11,,,,,0.0,0,,,0,0,11,1,-0.009947019067326526,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,11,0,0
1.0,,12,,,,,0.0,0,,,0,0,12,1,-0.008325285935837581,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,12,0,0
1.0,,13,,,,,0.0,0,,,0,0,13,1,-0.011635698519102391,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,13,0,0
1.0,,14,,,,,0.0,0,,,0,0,14,1,-0.010911491770949624,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,14,0,0
1.0,,15,,,,,0.0,0,,,0,0,15,1,-0.010980920009801434,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,15,0,1
1.0,,16,,,,,0.0,0,,,0,0,16,1,-0.009887074861665948,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,16,0,1
1.0,,17,,,,,0.0,0,,,0,0,17,1,-0.008620007675525834,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,17,0,1
1.0,,18,,,,,0.0,0,,,0,0,18,1,-0.010011982163142133,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,18,0,1
1.0,,19,,,,,0.0,0,,,0,0,19,1,-0.01021383255594687,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,19,0,0
1.0,,20,,,,,0.0,0,,,0,0,20,1,-0.011056280466981807,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,20,0,0
1.0,,21,,,,,0.0,0,,,0,0,21,1,-0.009657722934295556,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,21,0,1
1.0,,22,,,,,0.0,0,,,0,0,22,1,-0.010655260992166618,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,22,0,0
1.0,,23,,,,,0.0,0,,,0,0,23,1,-0.009024988579806817,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,23,0,1
1.0,,24,,,,,0.0,0,,,0,0,24,1,-0.0087695049930303,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,24,0,0
1.0,,25,,,,,0.0,0,,,0,0,25,1,-0.00999353458407958,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,25,0,1
1.0,,26,,,,,0.0,0,,,0,0,26,1,-0.009661261637064147,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,26,0,1
1.0,,27,,,,,0.0,0,,,0,0,27,1,-0.010644111904915867,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,27,0,1
1.0,,28,,,,,0.0,0,,,0,0,28,1,-0.010922985901896656,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,28,0,0
1.0,,29,,,,,0.0,0,,,0,0,29,1,-0.008574462692486176,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,29,0,1
1.0,,30,,,,,0.0,0,,,0,0,30,1,-0.009537558076748045,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,30,0,1
1.0,,31,,,,,0.0,0,,,0,0,31,1,-0.008981851685747824,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,31,0,1
1.0,,32,,,,,0.0,0,,,0,0,32,1,-0.009372749117341197,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,32,0,0
1.0,,33,,,,,0.0,0,,,0,0,33,1,-0.01013851025945666,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,33,0,1
1.0,,34,,,,,0.0,0,,,0,0,34,1,-0.010366934403538633,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,34,0,1
1.0,,35,,,,,0.0,0,,,0,0,35,1,-0.009473489739908239,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,35,0,1
1.0,,36,,,,,0.0,0,,,0,0,36,1,-0.010474442794324404,0,,0,0.0,0,7.986301369863012,,,,0.0005072641772627839,0.009980468750000002,0.0,0,,,36,0,1
